card1,card2,card3,card4,card5,card6,result
8C,QC,7D,AC,QH,TH,loss
KD,6H,AS,8S,7H,9C,loss
QD,QH,8C,6D,QS,JS,win
6C,9S,TH,TS,7H,QC,loss
9C,KS,9H,AC,TH,6D,loss
9D,JC,7C,QS,8H,TC,win
AD,8H,7C,9H,AC,QD,win
7S,8D,TC,8H,JC,JH,loss
QH,7S,AC,8S,KS,JH,loss
6D,JC,AS,9C,JD,7D,win
KD,AH,TD,9H,JS,9C,loss
9D,TS,AC,7S,TH,9C,win
8C,8S,9S,7D,JD,9D,win
JD,QH,7C,7H,9C,8D,loss
KS,JC,JH,KC,9C,TC,loss
JC,TC,QS,9H,JD,AD,loss
9C,QC,JS,TS,KS,TD,loss
8H,9D,AH,TC,6D,9S,loss
9C,6H,TH,JS,JC,KD,loss
6H,JC,6S,AH,AD,7C,loss
8D,JC,6H,QS,JH,KD,win
6H,7H,TS,6C,6S,7C,win
9D,6C,JS,QH,TC,KS,loss
JH,7S,JS,6H,7D,KH,win
KC,KS,8C,6H,8S,6C,loss
KS,7D,TH,JH,6C,8D,win
8D,7H,6D,8C,7C,7D,win
8H,JH,8S,8D,9C,JC,win
9D,QS,8D,QH,8C,JC,win
7H,JH,JC,AD,KD,AC,win
JH,9H,6C,TH,KS,QH,win
AH,8H,8S,JD,QS,9D,loss
JD,TH,KS,8S,QD,6S,loss
JH,KS,QS,KD,AS,TH,win
8S,AH,7S,9H,QD,6D,loss
TC,KS,9D,JH,8H,6S,loss
TD,AC,8C,AH,AS,8S,win
KH,KS,8D,6H,AC,JH,loss
AC,QC,8C,KS,QD,QS,win
TD,AD,KH,KS,QS,7C,win
AC,TC,9C,8H,6S,6D,win
QS,QC,TS,KC,6H,JD,win
JH,6H,AC,6S,QD,TD,loss
QS,TH,8C,QC,QD,AC,win
9H,TC,9C,TH,AD,9S,win
TD,KD,QC,9S,JH,AD,win
6D,JC,QS,6S,AH,TD,loss
8S,QC,KH,QH,7H,QS,win
QS,9C,8H,KC,6H,9S,loss
TC,AH,9C,9D,6D,JS,win
8C,TC,JC,8S,9D,TS,loss
QD,AS,KH,TD,8D,6S,loss
8D,QC,8H,JH,6S,7S,loss
QD,QC,KH,AD,8C,8H,win
7D,8S,8C,TS,AH,6D,loss
7C,9C,8D,AH,KS,8H,loss
8C,6C,AC,7D,9H,JH,loss
JS,TH,9S,KH,TC,9D,loss
KH,6S,6H,7C,TH,KS,win
KS,7H,AS,KC,9D,9H,win
KS,8C,7C,9H,JD,9C,win
6S,8C,9C,TS,8S,QH,loss
6D,QS,QD,6H,AH,TH,win
TC,7S,JD,AD,QH,6S,loss
QC,9H,7S,QD,TC,QH,win
AS,7D,7C,AC,8S,TS,win
8H,8D,9C,JC,JS,9H,loss
AS,7H,QD,7S,6H,8C,win
9H,8H,7S,JD,7C,6S,loss
KH,QS,7S,TS,TC,8D,loss
9S,KS,KD,QD,QS,JH,loss
JD,QH,KC,AH,9H,8C,win
TD,8S,7C,7D,9H,QD,loss
AC,JD,AH,7H,TD,6H,loss
8D,KC,AD,TH,8H,7H,loss
8D,TC,QC,AD,QH,8S,loss
QS,6D,9D,7S,QC,TH,loss
TS,8C,8D,9C,8S,KC,win
TH,AH,AD,7C,AS,QC,win
KD,8S,6C,9S,TH,6S,loss
QS,KD,JS,AC,KC,6H,win
TD,7H,KS,QS,8D,9D,loss
9C,TH,TS,8H,KH,AD,win
8S,TS,QC,7D,TD,9H,win
7H,9H,AH,9D,7D,TH,win
AH,8S,QC,TH,KS,7D,loss
KD,9S,KC,TH,AS,6C,loss
JS,6C,9C,8C,8H,TC,win
8D,QD,9H,AH,TD,JH,win
AS,6D,QS,9H,9D,8C,loss
6D,TH,9S,QS,AD,6S,loss
TC,QS,6S,9D,AD,6C,loss
QS,JS,7H,AH,6C,8H,loss
JS,6C,TS,9S,9H,6D,loss
7H,TD,8H,7S,7C,AH,win
TC,8D,JS,KS,AS,AD,loss
JC,6S,QH,TS,TD,9S,loss
KS,8C,JS,6H,7H,9S,loss
KS,9S,QC,6H,KD,AS,loss
6D,AC,TH,QS,6H,AD,loss
7H,9C,TS,8D,8H,QC,loss
9C,6D,7H,7C,TD,JH,loss
6D,KC,6H,QD,7S,JH,win
7D,KD,8H,JS,9D,KC,loss
TC,9S,AS,AC,8S,TS,win
KC,JD,TD,7H,JH,AH,win
8C,6S,6C,7H,TH,KC,win
KD,9S,AS,7D,QS,AD,loss
TH,JD,KS,AH,TC,7C,loss
9S,AS,AD,QD,7D,QS,win
KS,QS,JD,9C,8C,KC,win
KD,JS,7D,AD,8C,KC,win
9S,6C,JC,AS,8H,QC,loss
6D,7H,QS,8H,9H,8C,loss
QS,8H,8D,6C,AC,TD,loss
8C,6C,7D,9S,8S,9D,loss
QH,8D,8S,QC,AD,7C,win
7C,JC,9D,9S,7S,TS,loss
8C,KD,6S,JD,AH,7S,loss
9D,QD,QH,AC,JC,TS,loss
QC,9C,6H,QH,KC,AS,win
9H,QS,9C,AS,8D,7C,loss
KS,QD,6C,9H,8S,AC,loss
9S,AS,8C,6H,8D,KH,loss
TH,6D,KD,9H,7H,QD,loss
JH,6H,8S,AD,6S,7H,loss
TS,KS,JS,TH,7D,JD,loss
AH,8H,TC,6C,8S,KD,win
QS,JH,JC,JD,6D,KH,win
KC,9D,QD,AD,KS,AS,win
6H,7D,AC,6D,9H,QH,win
9C,QS,7C,JC,TC,6C,win
9D,TD,7S,9H,AD,8C,win
KS,9S,TS,9C,JC,TC,loss
9C,TH,QH,6C,6D,TD,loss
KD,JS,TD,7C,8C,7D,loss
KD,AD,8S,JS,6H,8H,loss
7D,QD,AH,7S,TD,TC,loss
JD,JS,8S,KD,AC,TD,win
6C,8D,9D,6D,KH,QS,loss
QD,JH,KD,TS,6H,QC,loss
QS,KC,JH,6C,KS,QH,win
6S,KH,6H,TS,9H,QS,loss
9D,6D,JH,TD,JS,6H,loss
TS,KD,QH,6C,6D,8D,loss
KS,TC,9C,JH,TH,AD,win
8D,TH,QS,8S,9C,8C,loss
7C,KC,JC,9C,6C,JD,win
JD,6D,AS,9H,6S,JH,win
6C,TD,KC,KS,JC,KD,loss
6D,9C,6S,8D,JC,9S,loss
KS,JS,8H,8D,8C,KC,win
7D,AS,6D,QC,8D,KH,loss
9D,8D,QH,KH,QS,KS,win
KH,6D,JS,7D,QS,KC,win
KH,8H,7C,6S,8S,JC,win
9S,KD,TC,AC,TS,AD,win
9D,6D,6C,KH,TC,KD,win
7D,QC,AC,TD,KS,QH,loss
9C,AD,KH,TH,9S,KD,loss
8C,TD,AS,JC,QS,7C,loss
KC,6H,8S,7H,KD,QH,win
TC,AD,6D,QD,7S,JD,win
7S,8D,7C,KC,6C,TS,win
7S,6S,QD,JD,8S,TH,loss
AC,JC,JD,QD,7D,9S,win
KH,6D,AH,AD,6H,8C,loss
8H,QH,JC,6D,TH,AD,loss
8C,7H,9S,JH,7C,TD,loss
9H,6H,QH,7S,8H,KD,win
TH,AC,AS,8C,6C,AH,win
7C,QH,TD,9C,TC,AS,loss
QD,KC,AC,QS,QC,TC,win
8C,8D,7S,9D,AD,JH,loss
8S,KC,9C,8H,QS,QH,loss
9S,7D,AS,7H,KD,AD,loss
AS,KS,6C,AC,7C,TS,loss
8S,AC,8C,AD,9H,JC,win
TH,7S,8D,QC,7C,JC,loss
8C,6C,8H,9D,TH,JS,loss
AS,TD,QD,KS,AH,6C,win
JC,9C,AC,KC,KD,QD,loss
TH,6H,9C,9D,AC,TD,win
7D,8H,9C,QS,JH,6C,loss
8D,QH,QS,AS,JD,KH,loss
6C,QC,6H,JS,QS,7C,win
AH,8D,8S,8H,QD,6H,win
KC,KS,JC,JH,TH,8H,win
9S,6D,9H,QS,8C,KS,win
TD,9C,QS,KS,AS,TC,loss
7H,JH,AS,AH,7C,6D,win
TS,TD,TH,AH,JC,AC,win
TH,9C,6C,QS,8C,QD,win
TC,QS,9H,QH,6S,QD,win
AD,TH,JD,8S,7C,KC,win
8H,6H,8C,KS,7S,TC,win
9S,AD,6S,AC,KH,8H,loss
7C,8D,AS,7S,8S,9D,win
JH,7D,QD,8D,AH,6C,loss
8H,AS,9D,8D,QS,8C,win
7D,QC,JH,6S,AC,9S,loss
JC,9S,TC,AC,KD,QC,win
6H,8H,JC,JH,7H,AC,win
7H,QS,TD,6D,9S,8H,loss
6D,TH,9D,JS,TS,6H,loss
6D,6C,QD,6S,6H,QS,win
9H,TD,7S,9C,7H,AC,win
JH,8S,6C,9S,KH,8D,loss
JH,TD,KH,6D,KC,7D,win
JH,8C,JD,6C,QH,JC,win
TH,AS,9D,KH,8S,JS,loss
KS,AS,QS,9D,AH,TC,win
9C,6H,9S,QS,8H,QH,win
8D,6H,9D,8C,AD,7D,win
8D,TH,AD,7S,JS,6S,loss
6C,AS,TC,JH,KS,7C,loss
9C,JD,9D,JC,7C,7D,win
7H,7D,JS,QD,8D,QS,loss
QS,AH,7D,8D,9D,QC,win
6D,AS,JC,TC,6H,QD,win
7H,7S,JC,AS,8S,KH,loss
QH,JS,6D,7D,AS,TC,win
8C,8D,8H,AD,7C,7D,win
QC,TH,QD,8D,7D,QS,win
7H,8S,JD,JH,TD,6D,loss
7H,TC,TS,QD,JS,QS,loss
AS,JS,TD,8S,KD,6D,loss
9C,AH,KD,QH,JD,7C,loss
AH,9H,AS,TD,7D,8D,loss
TC,9C,AS,6C,8C,QC,win
QS,8C,9S,TH,KC,7D,win
KD,QH,JC,7D,JS,8S,loss
8S,8D,QD,8H,9S,8C,win
9C,AS,9D,KH,QC,6C,win
9S,KD,AC,6S,7S,8C,loss
6H,TD,6S,6C,7H,KH,win
AH,6D,QS,TS,7C,9D,loss
7D,8H,TH,JH,8S,QH,loss
JC,7S,QH,JS,KD,9C,loss
6H,KC,9S,KS,6S,QC,win
9D,QD,JH,QC,6H,JD,win
KH,TD,7H,6H,AS,8C,loss
9C,6H,QS,QD,JS,KH,loss
TC,9C,AS,AD,KS,9S,win
7H,QS,7D,AD,9C,AS,win
6S,7H,QC,7C,7D,KS,win
7D,JD,AS,TS,6H,9C,loss
QH,9C,8H,9S,KH,TH,win
8S,AC,QH,TS,7C,8H,win
8H,9S,9H,KS,6D,9D,win
TD,TC,QD,7C,7H,KC,win
8C,7C,8S,QD,8D,6H,win
JD,6S,TD,8H,AH,6D,win
6C,AD,AH,KC,KH,8S,win
TS,6S,KC,AC,6H,TC,loss
9D,8D,6H,KH,AD,JD,loss
6C,QC,JC,9D,AH,8H,loss
8H,7H,TC,9C,9H,KH,loss
7S,QC,QS,8C,9H,JD,win
8S,TC,9C,TS,QC,JC,loss
TC,QD,TH,QS,KC,8H,win
AS,8C,8S,6C,JC,AC,loss
9D,JH,JS,6H,AH,9S,win
TC,TS,AH,AC,AS,9C,win
6D,7S,6C,7H,9H,9D,win
9D,8H,7D,TS,KD,9C,loss
9D,QC,8H,8D,TH,AS,win
8H,9S,JD,QD,7S,TS,loss
JH,8C,8S,7S,7D,9C,loss
AC,AD,7H,TC,KC,8S,win
QH,6H,8D,KH,7S,8H,win
7S,KH,6C,JD,AC,JC,win
9D,QC,8H,AC,KS,JH,loss
TH,TD,6H,6D,JC,8C,loss
8S,QH,TH,AH,9D,9H,loss
8H,9S,8C,KC,KH,TD,win
8H,JS,KD,6C,TD,7D,loss
TH,9H,KC,6S,QC,7H,win
KD,AS,KS,8H,6C,6D,loss
AS,8S,8C,KH,JC,QS,loss
6C,6H,AD,KH,8D,8S,loss
QD,QS,AD,9H,QH,AH,win
6H,QS,8S,7D,KS,7S,loss
9S,8C,8S,9D,AS,QC,win
JH,8C,7D,JD,AH,QH,win
8D,KC,KS,AD,QH,TD,win
QH,QC,AS,9C,KC,7H,loss
JC,TD,TH,AC,JD,7H,win
JD,KD,KS,AC,TD,TC,win
8C,7D,AS,8S,KS,8D,win
9D,TD,AS,6C,KS,6S,loss
8S,7C,AH,AC,7D,TD,loss
AH,7S,6S,9C,9S,TC,win
JS,JD,6H,AH,TC,7S,loss
QD,7S,TD,9S,7H,KD,win
9S,JC,6D,AD,KD,7S,loss
7C,7H,6H,9S,6S,KH,win
8C,AH,KD,TS,9C,QC,loss
TS,8D,JH,8H,QD,6D,win
AC,JS,8H,9D,7C,TC,win
7H,8H,KC,7C,TH,8D,loss
TS,6D,AD,9S,JH,8H,loss
QD,7S,JD,TS,9S,KD,win
KS,AD,8S,8D,8C,QS,win
KC,6S,JS,KD,KS,7H,win
7S,TC,KS,JD,AS,6S,win
KC,JS,7S,TH,9D,7C,loss
6H,TD,TS,QC,QS,AS,win
KD,AC,AD,6D,JS,AS,win
AH,JS,TH,KC,JD,KS,win
7C,KS,AS,6S,JS,AH,loss
7C,TC,KH,TH,7D,TS,win
7S,AS,KH,JD,9S,KC,loss
QH,JC,6C,AC,8C,7S,loss
6S,QS,7C,7D,TC,JH,loss
AD,JH,TS,TH,TC,6H,loss
KS,KD,8D,7D,AC,AH,win
9D,QH,KC,TS,9S,AS,loss
JH,TD,8S,6S,9H,7D,win
JS,QH,9S,9H,6S,7C,loss
9D,7D,AC,JD,TC,8D,win
8H,TD,7C,6D,AD,AH,loss
TS,JD,AD,9H,QD,KS,loss
6D,TS,6H,AD,7D,7C,win
7C,8C,AS,6D,TS,7S,win
KS,TC,7D,6D,KH,9S,win
7H,9C,7S,7D,AH,6H,win
8C,AS,JS,QS,JH,AD,win
TS,6H,KC,7C,AD,QC,loss
AS,KS,TH,6C,KD,QS,loss
9S,8C,7S,6C,JH,6D,loss
AC,AD,TH,QC,7H,9C,loss
7S,9S,9H,KC,KD,AS,win
6C,9S,8D,6S,6H,AD,win
AS,AC,JS,QC,7D,6D,win
9S,JH,KD,AC,6H,6S,win
TD,KC,QS,7S,9H,8D,loss
6D,7D,AC,8D,KH,JS,loss
JC,6H,7S,QH,TC,KC,loss
8H,6C,AC,KS,TH,9H,loss
7S,QH,6S,TH,QD,KD,loss
TC,9H,9S,6C,6H,9D,win
KD,9S,6H,JC,KS,8C,win
KH,TD,9C,KD,8H,8S,loss
9H,QS,KH,KS,JS,8D,win
7D,JS,QS,7S,7C,KD,win
6C,JH,TS,JC,8C,QH,loss
8H,KC,7D,TS,8C,7C,loss
7S,7H,TH,8D,AS,TD,loss
8C,QS,6H,QC,7S,9S,win
JD,9H,QC,KD,TS,AC,win
8H,TS,JD,8D,TC,TD,win
8D,9C,9S,6D,AS,7D,loss
KD,JC,KH,QD,6H,QC,loss
QC,8H,8S,KD,8C,9H,win
6S,TD,9C,KC,6H,TC,win
8D,6D,6S,9H,6C,JS,win
8H,JC,9S,QC,9H,8S,win
8D,TD,9D,TC,6H,QD,win
6H,KS,TC,6S,TD,8C,win
7C,6S,9H,TH,TS,AD,loss
6H,TH,7S,8H,KD,6D,win
7C,8C,JH,7S,TS,QS,win
9D,6D,6C,7S,TH,7C,loss
8C,QH,JS,8H,9S,7H,loss
6D,9H,7S,AS,JS,9C,win
6D,9D,AC,TC,7H,8C,win
8D,TD,8C,AC,TC,8S,loss
AS,TC,JH,9H,AH,KC,win
7S,AS,QD,KD,9H,KH,win
AS,6D,6H,7C,8D,9D,win
9S,TS,AS,JD,7D,QS,win
QD,JD,KH,TC,KC,AC,win
TS,JD,JS,AC,KH,7H,loss
8H,6D,9S,6C,JC,TS,loss
TD,7H,8S,9S,JC,AD,win
JC,TS,7S,8C,KH,QC,win
9D,6C,TH,9S,AD,7S,win
AH,TH,7D,9S,9D,6D,win
6H,6S,9H,7S,JH,QD,loss
AS,8C,QH,9H,6S,8D,loss
8S,AD,TD,9S,JC,6H,loss
6D,KS,TD,AS,7S,9S,loss
TH,8H,7C,TC,JC,KS,win
6D,8C,9C,JH,QH,KH,loss
KH,TH,JH,QC,6C,KD,win
AC,KS,8H,9S,AD,6D,loss
QD,6H,8D,TH,JH,KD,loss
AS,8S,KD,JD,QH,9S,loss
7C,8C,8H,KD,QS,7S,win
6H,QH,7H,TS,TH,QS,win
KC,9C,JS,JH,9S,QS,loss
6D,9D,QH,7D,KS,8D,loss
JH,9D,8C,7C,JC,JS,loss
AD,8C,QS,AH,JH,9S,loss
TS,AC,QS,KC,JD,TD,loss
KD,8S,JC,6D,6S,8H,win
QD,9D,KS,7H,QC,JS,loss
QD,8C,9C,JH,9H,QC,win
JC,AH,AD,KS,7H,6H,win
9C,AH,AD,8H,QD,6D,loss
8C,KS,KH,6C,9H,TH,win
8C,9D,KC,6S,TC,9C,win
KS,6H,9S,7D,QD,AD,loss
KC,8D,JD,9H,9D,TD,win
JS,JC,TH,6D,QC,9D,win
9S,KH,KS,6S,QC,AH,win
8S,7H,8C,KD,TH,QS,loss
9D,AS,JC,AD,7S,7C,loss
KC,AC,9C,8C,TS,8D,loss
9H,9S,AC,KS,9C,AD,win
8S,6S,AH,KD,AS,9H,win
TH,7D,KS,7S,8C,6C,loss
AC,TD,9D,JC,JD,9C,loss
9D,7D,KS,6D,8S,JC,loss
9H,9C,JC,8C,QS,8S,loss
6C,JD,7S,7D,JC,QH,loss
KC,TD,9H,KS,KH,TC,win
6H,JC,TD,AH,KH,QH,win
JH,AS,TC,KH,6S,7D,loss
9S,6H,QC,AS,7C,KC,loss
8H,QC,AC,TS,6C,KD,loss
8S,AS,TS,AD,QS,8H,win
TH,9S,7S,JH,8H,9H,win
JD,JS,JC,AH,9S,QC,win
8H,QD,AC,KD,6H,TC,loss
QD,6S,8D,6C,JS,6D,win
JH,QS,KD,JC,QH,7H,loss
KH,QS,7D,KD,9C,TS,win
7C,TC,AS,AC,KH,KC,loss
7S,KS,KD,JH,9H,6S,win
9H,QH,KH,AH,7C,AS,win
AC,QS,KD,JH,9H,8D,win
TH,KS,QS,QH,QD,JH,loss
JD,KD,7C,TS,JH,AD,win
6S,7C,KC,9C,TC,9S,loss
7S,KD,KC,8S,QD,KH,win
JD,JC,8S,6H,6S,KD,win
8S,AC,KH,AD,6C,KD,win
7S,QS,JH,7H,9C,KD,loss
6D,QD,KH,QS,AD,TC,win
KC,9D,9S,TC,7S,JS,win
KS,AD,QC,7H,QD,AH,win
TH,TC,8D,9S,6H,7S,win
AC,8S,AH,9C,KC,6H,win
7D,JS,8C,7S,9S,TS,win
KH,TH,8D,6D,AS,9S,win
6D,7H,AS,AD,QD,9D,loss
8C,8S,QH,9C,8H,KC,win
AH,QH,QS,AC,7S,6H,win
9S,KD,6D,9H,KC,AD,win
6C,AD,9H,QC,8S,6S,win
JH,KH,8D,AD,6H,JD,loss
QD,AH,6S,6H,QC,KS,loss
TS,6S,KC,9H,TH,7H,win
AC,9C,AS,8H,TH,KS,win
7D,KS,TH,8H,6S,6D,loss
8D,AS,QC,KC,7D,TH,loss
JD,9S,8D,6C,AD,7H,win
TH,AS,6D,JS,QH,8H,loss
KH,KS,AC,AH,QC,JD,loss
6S,7D,JS,AS,KS,QD,win
6S,AD,7C,JC,KD,8S,loss
KS,TH,8H,KD,9H,9S,loss
9S,QD,8D,9H,AD,8H,loss
6C,AH,JC,KC,9H,KD,loss
KC,9D,TD,8S,KH,TH,loss
6S,6C,QD,QS,KC,JD,win
QD,KC,9S,9C,JC,TS,win
QC,AH,JS,KH,7H,TH,win
8C,JH,8H,KS,6D,KC,win
TH,JH,8H,AH,KD,JS,win
6H,QC,7H,KD,6D,8S,loss
9C,8C,JS,7S,8D,9S,win
TH,TS,KH,AD,JH,JD,win
TH,6C,JD,8H,6H,TD,win
6S,AC,TS,7H,6D,8H,loss
AH,JC,KH,AD,TS,QC,win
QC,QS,9S,9C,TS,6C,loss
JS,JH,7C,9H,6C,KC,win
6H,7S,KC,QC,TD,9S,loss
9H,8D,9D,6H,AD,JH,loss
6C,6H,JH,AC,9S,8D,win
9C,8C,JH,QS,JD,6H,win
QD,8H,QC,8S,6D,6H,loss
6C,8S,JH,AD,JD,QS,loss
6S,AS,TD,7H,8H,TC,loss
7S,QD,6H,KH,JS,AC,loss
TC,JH,9H,7H,TH,AH,loss
6H,6D,AC,8S,AS,6S,win
7D,AD,8H,KD,TH,QC,loss
KC,8D,TC,KD,8S,6C,win
8D,9S,KS,8S,6D,7S,win
TS,JC,KH,QH,KS,6C,loss
6C,6H,8S,9H,JS,KD,loss
JS,JD,8D,6D,6H,KH,loss
AC,8C,AH,6H,TC,JH,win
JS,TS,QH,TC,9C,8D,win
7D,TH,7H,9S,8S,KS,win
AH,7S,AC,JH,JC,9H,loss
7D,QC,8D,AD,9H,QD,win
8S,TS,8H,KH,TD,QH,loss
6C,AH,9D,7C,6H,9C,loss
8D,JD,TC,TD,QH,QD,win
TH,TS,AH,7C,QH,KH,win
TC,6S,9S,KD,TD,6C,loss
7H,QD,9H,6D,JS,TC,loss
JH,QD,6H,AD,9H,7D,win
JD,KH,AH,TD,QD,8D,win
AS,QH,JD,9H,TD,TH,loss
JD,QS,9S,8D,7C,7S,loss
KD,AD,JC,KS,QS,9H,win
7C,QD,QC,QH,6D,TD,win
6D,6H,AC,QH,9D,AH,loss
8H,QH,JD,8S,7S,AD,loss
6C,7C,KH,QC,8H,6H,loss
AS,6H,AC,KD,6C,QC,win
9H,KD,9D,7S,6H,QD,loss
9H,7D,JC,KC,TS,8D,win
8C,QC,7S,TH,7C,AD,loss
8C,KS,KH,AD,AS,7D,win
9H,QH,KH,JD,TC,JH,win
JD,6H,QS,9C,7C,JC,win
AH,8S,JH,7C,TH,9S,win
9C,9D,QS,TC,TS,KH,win
6H,9H,8D,TC,7S,AC,loss
6D,9C,TC,KD,AC,7C,win
9S,8D,8H,AC,7H,TD,loss
JH,6C,8D,TS,JC,QH,loss
8H,8S,AH,9C,AS,9S,loss
9D,6D,TH,KC,8C,9C,win
JC,JS,KH,AD,6D,KC,win
7D,JC,QD,JD,9H,8C,win
AD,6D,9D,QC,JS,KS,loss
QH,9D,AC,TD,JD,TH,loss
QH,7H,TS,6D,6S,QC,win
QC,AC,7C,7D,6S,7S,loss
KC,9H,8H,AS,6H,TC,loss
6H,8C,JS,JD,9C,8S,loss
JC,TH,9S,QH,KD,7H,loss
9C,JC,JH,6D,KD,7H,win
6H,9D,QH,6S,9C,QS,loss
JC,7H,7S,AC,AD,KD,win
JH,8S,TD,AD,7C,7H,loss
6S,9H,QC,8S,TD,9D,loss
9D,7H,AS,KH,AD,QH,loss
QD,8S,QC,JD,TD,7D,win
7H,6C,QD,AC,KH,JC,loss
7C,KC,6H,QH,JH,7H,win
QC,8D,KH,KD,TS,TC,win
7C,7S,AC,TC,8H,QC,loss
9S,TS,AD,6D,9H,7C,win
AD,6S,QD,TS,8C,KS,loss
6H,TC,QH,KH,QC,KC,loss
8D,8C,7D,AS,KD,7H,loss
KS,8S,JC,KC,8C,QS,win
6S,TC,7D,JH,KC,QC,loss
8C,JC,QC,KC,8H,9H,win
KC,7C,TS,9S,6H,QH,win
6H,8S,JD,6D,6S,AH,win
KC,TD,AD,KS,6S,KH,win
8C,7D,8D,JH,JD,TH,loss
TS,6C,8H,6D,AH,9H,win
7C,KD,7D,TC,JS,8S,loss
KH,AH,JD,6H,AD,JC,win
TH,9C,8D,KC,9D,9S,win
7H,TH,8H,AD,QH,JC,win
TS,QH,AS,6S,KH,9S,loss
9D,KS,AD,AH,TD,9C,loss
7C,JD,8S,QD,KS,QC,loss
QD,TD,6C,TS,QH,TC,win
JS,KD,AS,TD,6H,8C,loss
KS,JD,6C,AH,QD,QS,win
AH,KH,TH,6H,8C,JD,loss
7D,TS,7C,KH,KC,9S,loss
7S,7H,TH,JD,6H,9H,loss
KC,7S,JH,9H,KD,AC,win
9D,9H,AD,JD,8C,7D,loss
KH,6C,QD,KS,QC,8H,win
JD,TH,KS,6S,9C,QC,win
9H,JC,AH,JH,7S,KC,win
9H,6D,JH,KS,QH,AH,loss
AH,9S,AC,QD,9H,7C,win
6H,TH,KH,QD,6S,QH,win
9D,KS,8C,TH,9H,7C,loss
9D,7S,TH,JH,8H,6S,loss
9H,9C,KC,8D,8S,JC,loss
KD,AH,8S,9D,KS,QD,loss
JD,TC,9H,8C,QC,9C,loss
7D,AD,TH,QH,JH,JS,win
TD,9C,AS,6C,AD,JH,win
AS,6S,6H,KH,QD,KC,loss
JD,TS,TC,KD,TD,AS,win
JH,KH,KS,JD,7H,QC,loss
9H,9C,KD,6C,KC,JS,loss
JD,QH,JS,9H,AC,KC,loss
7D,JS,TS,KH,KC,7S,win
KS,JS,QS,QC,JD,8C,win
6H,JH,KD,TD,6C,7C,loss
KH,JD,9D,7S,TS,JS,loss
8C,9H,8S,JC,9D,JH,win
TS,AC,6S,KH,KC,8C,win
QH,KD,6S,KS,AH,6H,win
8H,TD,JH,8D,QD,7D,loss
7H,9S,AS,QH,8C,KC,loss
6H,QD,JS,9D,JD,9H,loss
7D,9C,7C,TD,TC,8S,win
KD,9C,7H,9D,9H,JC,win
7S,9D,7H,TS,6C,AH,loss
8D,7H,6H,9C,AD,7S,loss
QC,JC,KD,KS,7S,KC,loss
6H,9S,QC,AS,TS,QH,loss
6S,KS,TD,9S,6H,AD,loss
9S,QS,JD,KD,6S,KS,loss
6D,TS,KC,JD,JC,TH,loss
JH,QC,6H,6D,7C,KD,loss
8D,QD,JC,8S,TC,TS,loss
AH,AD,AC,AS,9D,JC,win
AC,QS,9S,JH,6S,6C,loss
AS,JS,QC,6D,TD,8C,loss
6D,6S,6C,QD,KC,TC,win
AS,7H,TC,KC,JD,AD,loss
QH,6S,9C,9D,KS,7D,win
AD,7D,6S,8D,9C,TD,win
9S,9D,KC,7H,6D,JC,loss
8C,7D,8H,8S,KS,6C,win
KD,JD,6D,TD,9H,7S,loss
AH,QH,TH,AC,6C,6H,win
TD,KC,TH,AH,9D,6D,loss
TC,6D,8C,QH,KC,TH,win
9S,7S,QS,QC,6C,AD,loss
9H,8S,KD,8D,QH,JC,loss
8H,AC,QD,AD,8D,QS,win
TC,8H,6S,TS,JH,9S,loss
KD,6S,JC,9S,QH,7D,loss
QS,8D,6H,8S,KS,6C,loss
9D,JD,9S,AD,QS,JC,win
7C,KD,6D,QC,JC,AS,loss
6S,9D,9C,QD,JH,7S,loss
7D,TC,KH,6D,8C,9C,win
9H,JC,6C,9D,8H,8D,win
8C,TC,JD,8D,6D,6C,loss
TH,6S,QC,KS,6C,AD,loss
7S,QS,TH,7H,QC,AH,loss
AH,AC,KH,JH,QH,JC,loss
8S,7S,8H,6S,9S,9H,loss
TS,KS,7H,7D,TH,AC,win
9D,8H,KC,JC,QS,TS,win
9S,KH,AC,QS,TS,6D,win
QS,9H,8C,KH,6H,8S,win
7D,KD,TC,QD,JS,7S,loss
AD,AC,QD,8D,6C,TH,win
QD,9D,7C,TS,7H,QH,win
9D,6D,8D,QC,QS,9S,win
AH,QD,KS,8D,TD,9C,loss
7D,6H,8D,8C,QH,6D,loss
QD,8D,9C,QC,7S,TC,loss
KD,AS,7C,8S,8D,JH,loss
8H,JS,9H,TC,TD,KS,loss
7H,QS,AC,JH,TC,TD,win
9H,KH,8D,8H,7D,AC,win
7S,QD,JD,8D,6H,KD,loss
7D,7H,QH,KH,6H,7S,win
KH,6D,QS,6C,QC,7D,win
QD,KS,9D,KH,KD,TD,win
9D,6D,AH,8H,7D,AD,loss
AS,KS,TC,KD,8H,JS,loss
6D,9D,JH,KC,KH,8D,loss
9S,TD,TS,8S,9D,TC,win
TD,9S,AD,AH,QC,JC,loss
TC,JD,9D,6D,AH,QH,win
6D,JH,7D,KH,AD,QS,loss
QH,AS,QD,7S,7H,8H,loss
JC,9D,AC,6H,8D,QS,loss
TD,JH,8D,TS,9S,KC,win
7H,TH,KS,QC,9C,8C,loss
TH,AH,9H,8S,7D,AD,loss
KH,7S,7H,QH,TD,AC,loss
JS,9S,JD,TS,6H,9H,win
6D,TS,QS,AD,TD,6H,win
KD,QS,JH,TD,TS,QD,loss
