card1,card2,card3,card4,card5,result
6H,8D,6S,JH,9S,win
AD,6S,TH,KS,KD,loss
7C,QH,9C,AS,JC,loss
8C,AS,QD,JC,AC,win
6H,JC,7D,8H,AH,loss
KD,6S,9H,TD,JC,loss
9D,8S,8D,6C,8C,win
8H,QH,7S,AS,QS,win
JH,KH,8D,AH,9S,loss
6H,AD,KS,KD,AS,win
6D,AH,6S,AD,KD,win
KH,7D,KD,6S,TS,win
JH,9D,9S,KC,8D,win
JH,7C,QH,7H,TD,win
9D,8C,8S,TD,7D,win
KD,AC,TC,QS,7D,loss
8C,7H,KS,QC,7C,win
JS,6C,6D,TS,AH,loss
QD,7D,6H,QS,AH,win
AS,6S,6D,JS,KS,win
TH,6H,AD,AC,TC,win
8C,QS,AH,JH,7H,loss
TS,TH,KH,7H,JC,loss
AS,KC,KS,KH,TH,win
TD,AH,6D,8H,7H,win
JS,JC,AH,AC,KD,win
JD,AS,TC,6H,9S,loss
9C,TH,QD,6H,KC,win
9H,KS,6D,9S,JC,loss
QD,9C,7C,KC,6C,loss
QC,QD,AC,TD,9C,loss
8S,9C,8D,AC,TD,win
AS,9C,7H,KH,QH,loss
AH,TH,QH,8C,JH,win
AS,QD,QC,8D,6D,win
KD,QD,8S,7S,8H,loss
KC,QS,KD,JC,AH,win
AH,JC,KD,8S,JH,win
8H,AS,JD,QH,9S,loss
9H,QC,KS,TC,AD,win
TC,JC,AC,9C,7C,win
9C,7S,8H,7D,KD,loss
AS,7D,AH,7S,JD,win
6H,KS,KC,QH,AS,win
AC,AH,6S,TS,QH,loss
AS,8D,9S,JD,QH,loss
KH,8H,QS,9D,QD,loss
TC,7H,JC,AS,TD,win
QC,AH,6H,6C,9H,loss
7S,TS,JD,9D,8S,win
7D,6S,KS,9C,AD,loss
QS,6S,9H,TD,AC,loss
AS,JH,9D,7S,TD,win
TH,8H,7D,6S,6H,loss
7C,KH,JC,9H,7H,win
QC,KC,9C,TC,AH,win
8C,6D,KC,QD,9S,loss
QD,JC,TH,8C,7S,win
9H,7C,TC,AS,9D,win
9S,KD,JD,7H,AS,loss
9D,8H,QH,7H,KC,loss
QH,QC,8C,8H,TS,win
6C,7S,JC,6S,JS,loss
8S,JH,KC,8D,AD,win
7C,6C,6D,QD,9H,win
KC,KS,7S,9C,QC,win
TC,7D,KH,7S,8H,win
8H,KH,KC,JD,9H,win
KD,6C,TS,7H,JH,win
9D,6D,KD,6S,AS,win
AS,9D,8S,7H,KD,loss
AH,6D,TC,8H,9C,loss
6C,8S,7S,QS,6D,loss
AD,KC,TC,QS,TD,loss
6H,AD,6C,TH,JH,win
9D,7C,7D,AC,QC,win
KH,JS,KS,QH,6S,loss
TH,QD,6C,QH,KS,win
KS,6D,AS,9S,6C,loss
8D,JC,8S,JS,9H,win
7D,AH,6C,AS,KS,loss
JD,QS,9H,6C,JC,loss
7C,JC,6D,6S,8C,loss
6C,AH,8C,7S,KH,win
6H,6D,8D,8S,JS,loss
QC,AD,9H,KD,9S,loss
7S,9S,7C,TD,7H,win
6S,8S,TC,AH,7D,loss
TH,6C,QD,KD,JH,loss
7D,JS,TH,QS,9C,loss
6D,8D,QD,8H,KC,loss
TC,8C,9S,QS,KC,loss
AC,JD,8C,9H,JH,win
6C,KS,6D,AD,KC,win
7D,9H,KD,TS,6H,loss
TS,9H,KC,8D,QD,win
JC,6S,AC,QC,9H,loss
TS,8C,6D,6C,6S,loss
AD,6D,9H,KD,TS,loss
9S,TH,6S,JS,7S,win
9H,KC,AC,TD,KD,loss
6D,QC,JS,7H,AH,loss
9C,8S,9S,JS,TD,loss
6H,KD,TC,9C,TS,loss
6C,9S,6D,9D,JS,win
9D,8C,6S,7S,KS,win
7H,9D,TS,JS,8C,win
9C,8C,9D,7C,QC,win
AD,7S,TC,6S,AS,win
8S,JS,TD,6S,JH,win
JH,TS,KH,KS,6H,win
9S,TC,TS,7S,8C,win
KD,AC,KH,TS,8H,loss
8C,9C,8D,QH,JH,loss
QH,6S,8H,QD,6D,win
JC,7D,KC,6S,8S,loss
7H,AC,9D,6C,7S,loss
AH,KH,AS,QH,7S,loss
AS,QD,KH,6H,JS,win
7S,TC,9C,AH,JD,loss
TH,QD,JC,6S,QS,win
AS,QS,6D,7H,TD,win
KH,8D,QH,7D,JC,win
8C,JD,6D,QH,6H,loss
6D,KS,KD,7S,8C,win
7C,QH,QS,8S,9C,win
AS,6S,AD,KH,6D,win
7H,AD,QS,7C,TD,win
9D,TH,9C,TD,AS,loss
7D,JD,QS,AC,6S,loss
6D,AH,9H,7S,QD,loss
KC,KD,7D,AS,JC,loss
9D,6C,7C,6S,6D,win
9H,KH,JS,7S,7C,loss
8D,9H,7D,9S,KH,loss
TC,QH,JS,TD,QS,loss
8S,QS,7C,TC,TH,loss
TC,9D,7D,9S,TH,win
7C,7D,AH,JC,7H,win
7H,9H,QS,QH,JH,win
AC,QC,TH,7C,9H,loss
9D,9H,TS,9C,8H,win
9C,JD,KC,JH,QH,win
7S,JC,TS,9H,AD,win
TD,KS,TH,6H,7C,win
QD,TH,KC,8S,7D,win
AH,AS,6H,TD,JS,win
9S,8S,7H,7S,KH,loss
JS,KS,QD,8S,TD,loss
7C,9H,KS,8D,TS,loss
JC,8D,7C,8S,QH,loss
6D,AH,JC,KH,KC,loss
KC,7H,KD,AH,9D,win
7H,TD,6S,TH,TS,win
8C,JH,QH,TC,KS,win
TD,KH,TH,AD,9H,win
JC,9D,8D,7H,7D,loss
8S,AH,7H,KH,TD,loss
8S,TD,JC,7S,KH,loss
6C,AH,QC,9H,AD,loss
7H,8D,9S,TD,AD,win
7H,6C,JS,QD,QH,loss
9C,AC,6H,9S,AS,win
AD,KH,6D,KC,JC,win
TD,8S,JC,9C,KH,loss
JS,9S,9H,9C,6C,win
TD,JC,JH,8H,JS,win
TH,QC,TD,9S,8C,win
9D,8D,KH,9H,6H,loss
JC,KD,QH,TH,KC,win
8C,TH,7S,AD,JC,loss
6C,8S,6D,AC,QS,loss
9C,6S,JC,KH,JD,loss
KC,KD,JC,TC,7D,loss
6C,8S,JD,7C,AH,loss
JH,AD,AS,8H,JC,win
QS,AD,KH,6D,6C,win
KH,TD,8S,JS,6C,loss
QS,QC,QD,TC,KS,win
TS,KH,QH,TD,QC,win
QH,6H,9S,KD,8H,win
AD,6D,6H,JC,KS,loss
QS,QD,7H,KS,7S,loss
8C,9D,KH,8H,AC,loss
9C,7C,JS,9H,AD,loss
9S,AH,6D,9C,6H,win
TC,QS,QH,JH,JD,win
KS,TC,KH,TH,8D,win
TS,TD,6D,JS,KC,win
9D,6C,8H,7D,AD,win
TD,AH,8S,6H,KD,loss
9D,6S,KC,8H,KS,loss
JS,7S,9C,9S,QD,loss
8H,AH,6D,AD,7C,loss
8H,JS,6S,9S,7H,loss
7S,JC,9H,JD,7C,win
JC,AD,TC,QH,8H,win
7D,8S,KH,6H,KD,loss
AS,8C,6S,JS,9C,win
AS,KH,TC,7D,QD,win
JC,6H,7D,KS,TS,loss
AD,AH,KS,TD,7D,loss
7S,8D,6H,9S,QH,loss
7S,JS,QD,JD,JC,win
6D,8D,6S,AC,TD,win
JH,TH,KD,KC,AC,loss
KS,AH,JH,TD,9C,loss
AD,AS,7H,TH,6D,loss
KD,6D,8S,JS,TH,loss
7C,KC,AS,QD,QH,loss
6H,9H,JS,QH,KH,loss
QH,QC,QD,AH,9D,win
JH,AC,AS,TC,7H,win
KC,8H,AS,9H,QD,loss
TD,JD,KH,TH,AD,win
8H,8S,KD,7C,7S,loss
9C,KD,JH,7S,7C,loss
6D,TH,QD,KH,8C,loss
8S,QC,QH,TH,8C,win
9H,JC,AD,KS,KC,loss
QH,9S,6C,KS,7D,loss
KS,AD,QH,AS,AH,win
KC,7S,JC,QS,AD,loss
TC,JD,KD,8C,8S,loss
6D,7C,7D,JD,6H,loss
QH,JC,QS,KS,TS,loss
TH,QS,JH,7H,7S,loss
7S,JH,9S,AS,QD,loss
QH,6D,AD,KC,7H,loss
KD,9H,KH,6C,QS,win
8C,6C,JH,AS,TD,win
JC,6D,6H,8H,7D,win
QD,9S,8C,KC,7S,loss
7S,AS,8D,KS,6D,win
9H,AH,AS,JH,TH,loss
7S,QC,AS,TH,7C,win
KD,8S,AC,7S,TD,win
KC,TD,JD,7S,8C,win
TD,KD,9S,AH,TC,win
6D,KS,6C,KC,9D,loss
AC,9D,7C,6C,9H,loss
7S,6D,7D,TH,8H,win
KH,AS,QD,JS,7S,loss
KH,7H,QS,QC,AC,loss
AH,KC,KH,7D,KS,win
7D,QC,AH,KS,JH,loss
KC,6D,QD,8D,TS,loss
QC,QH,TS,TC,KH,win
7C,KS,7S,KC,AD,loss
QH,JH,TD,8C,QD,win
KS,JH,TD,8H,QC,win
8S,QH,JS,KD,TS,win
KS,7S,TS,JC,8C,loss
7S,7C,KS,8D,9D,loss
TD,JD,7S,8D,JS,loss
9S,TH,7C,KH,TS,loss
TH,7H,6D,8H,9S,win
KH,9H,8C,JD,8H,win
9D,TC,JH,JS,9C,loss
7H,TS,JH,TC,TH,win
8C,8H,9D,6H,6S,win
AC,JH,QC,8D,9S,loss
7H,JD,QC,6H,KS,loss
TD,AD,7D,8D,8H,win
TC,TH,TS,QH,AS,win
KD,TD,AS,AC,QD,win
QD,6D,KD,QH,9D,win
9D,QS,TD,KC,TH,win
6D,6C,9D,7H,8D,win
6C,JC,7S,JD,TD,loss
9C,8H,KC,AC,TH,loss
9H,AD,JH,AH,JD,loss
6S,9S,8H,7H,TH,win
TC,KS,KC,9D,8H,win
9D,AD,6H,QH,9S,win
JS,KC,QS,AD,TH,win
9D,9H,6H,AH,QC,win
QS,8C,JC,6H,KS,loss
AH,TH,AC,QD,QC,win
QD,7H,KH,AH,7D,win
QS,6C,AH,8S,6S,loss
TD,8D,KD,JS,7D,win
8C,AC,9D,8S,AH,win
JD,AH,9S,AD,6C,loss
AD,AH,QH,9D,KS,loss
TC,7H,6H,JD,6D,loss
9S,6D,JD,7C,QC,loss
AS,JC,QS,9C,9S,loss
JD,8H,KD,8S,QC,win
9H,JC,8D,QD,KS,loss
7S,JD,AC,KC,7H,win
7D,TS,7H,9C,AC,loss
JH,9C,AC,9D,AS,win
QD,7C,9S,8S,JC,loss
JC,AD,AS,9D,TD,win
AD,JS,JC,KD,QH,loss
TD,AD,7C,AC,QH,win
6D,TD,8H,AH,9C,loss
9H,JH,9D,9C,QD,win
AD,8D,TS,JC,QH,loss
6D,7H,TH,KH,8D,win
9S,9H,JS,KC,KH,win
7H,KD,QC,7S,6D,loss
AS,TC,QD,TD,KC,win
6H,6C,9C,6S,7C,win
JD,QH,9D,6D,AC,loss
KD,6D,KS,TH,7D,loss
KD,6H,8C,AC,AD,loss
TD,AD,KC,QD,8C,win
6H,KS,KC,AC,8C,win
8S,QD,TS,JS,TH,loss
TD,9D,TC,KH,7H,win
8S,QD,KD,AD,9D,loss
TC,AD,9H,6H,6C,loss
8S,7S,TH,7C,6D,win
7D,QC,QS,KC,TS,loss
6D,JD,AS,QH,TS,loss
6D,QD,TD,AH,AD,loss
JD,6S,9D,QS,8H,loss
9C,7D,TH,JC,TC,win
KD,KC,AS,AC,KS,win
QD,8H,8S,QC,QH,win
KH,AD,7D,9D,8D,win
AC,AS,TC,JH,8D,loss
6H,JD,6S,7C,8S,loss
AH,6H,TD,KC,AD,loss
AS,AD,QS,TD,QC,win
6S,QH,6H,8D,TD,loss
JS,KS,7H,AC,TS,loss
7S,QH,8C,7D,KS,loss
AC,QH,KD,8S,TC,loss
6C,AD,8C,TD,QC,loss
JD,JS,8C,JC,KS,win
JS,8S,AC,QS,7D,win
9S,6D,8D,6C,8C,win
9H,JS,6C,JH,7H,win
6S,8S,6C,8D,TS,win
9D,7H,AS,QH,8S,loss
KC,QS,KH,8H,JS,loss
9D,9H,KH,QH,AH,win
7H,8D,JD,QS,8S,loss
JS,KS,7S,QH,KH,win
JD,AC,9S,7H,8H,win
AD,8S,TH,KC,8H,loss
6S,8S,AH,6H,TC,loss
7C,8H,6H,9H,KH,loss
QH,9D,8S,TS,6D,win
TC,JS,9S,KC,KS,win
QH,QD,KD,8H,AC,win
QC,8S,JS,9D,7D,loss
6S,7C,JS,8H,9D,loss
TH,7H,KD,QH,JH,win
KH,7C,JC,8D,9D,win
TD,6D,KS,8D,JD,win
JH,KD,QS,AD,KS,win
KC,7H,QC,AC,QH,loss
9C,TS,JH,JC,6C,loss
9S,QS,TS,JH,TC,loss
TH,JS,TD,KS,9S,loss
7S,KH,6D,8C,7H,loss
AH,7C,8C,7S,TC,win
KS,AC,6S,KD,6H,loss
QS,8H,JD,6S,9H,loss
8S,AC,9C,QH,KH,loss
7D,QH,TS,8C,JD,loss
8C,JC,JS,TH,TD,loss
6D,KD,AC,8S,6C,win
8H,KS,7S,6D,TD,win
8D,TS,9D,7S,QC,loss
9S,8C,JD,TS,7S,win
9S,7S,7C,AD,TC,win
TC,KS,KH,KD,6D,win
TS,JD,7H,JS,KH,win
8D,AS,JD,KH,6S,loss
TD,6D,8H,TH,7S,win
6C,9H,9D,QC,7S,win
JH,AS,KC,9H,6H,loss
KH,JH,QS,QC,8D,loss
QD,7S,6S,QC,TC,loss
AS,JS,7H,9C,9H,win
7H,JD,JS,6C,KS,win
TS,9D,JC,QS,TH,win
AD,8H,AS,7C,JD,loss
6C,6H,8H,JC,QS,loss
6S,KH,JH,TD,8C,win
6S,JS,9H,AC,6D,loss
TS,JC,7C,8D,7D,win
9D,AS,TD,9C,9S,win
KD,TS,8C,TC,KC,win
TS,JC,7C,6C,7S,win
8S,7H,KD,JC,TC,loss
QH,AC,6C,8S,QS,win
QH,KC,9H,8S,7S,loss
JC,6H,AH,6D,KC,win
JC,8D,AS,8H,8C,win
8D,9C,JH,8S,JS,loss
6S,9H,KH,JD,6H,loss
QH,KC,7H,6S,AS,loss
AS,AC,QS,KS,AD,win
AC,QC,9C,AD,JH,win
TH,8D,JS,JD,7H,loss
TS,KC,7C,QH,QC,loss
9S,8S,6H,QS,TD,win
QD,8S,AS,7S,JC,win
QS,JH,8S,QH,AH,win
KD,8C,6H,KS,6S,win
6D,9C,KH,7H,JC,win
AH,KH,KD,JS,QC,win
9C,6D,KH,9S,QD,loss
6H,7S,TH,9C,KS,loss
TH,8H,TS,6C,8D,win
9C,6D,8C,TS,TC,loss
AH,6D,9D,9S,7S,loss
6H,9D,KD,9S,JH,loss
7S,JD,QH,AH,8C,loss
QC,6C,JS,TS,KS,loss
8H,TC,QH,JD,KD,loss
8S,8C,6H,JH,AH,loss
9H,KC,KH,6D,8S,win
TS,JC,QC,9C,9S,win
QD,AC,JS,AS,JH,win
AH,JH,JS,KC,AS,win
7H,AD,JS,JD,KD,loss
TD,QC,AC,KS,9D,win
AH,AC,9S,7D,JC,win
6C,JC,TS,6D,6S,win
KD,9S,8C,JS,7D,loss
7D,9D,6C,KS,KH,win
JS,JH,TD,KS,QD,win
7H,8C,8S,AH,6C,win
AC,KS,9S,KD,8C,win
6D,JH,8S,AD,JD,loss
AH,8S,JD,AD,TS,loss
KD,TC,KH,AH,9S,win
TS,9S,KC,7C,QC,loss
QC,AH,7S,7D,QD,loss
8S,6D,JH,JS,TS,loss
AH,7H,6H,9H,8D,win
7H,8S,9H,KC,KH,loss
AD,TH,6S,7C,KD,loss
8H,AS,TH,7C,JD,loss
TC,KH,AC,TS,9D,win
JC,AC,8S,KC,TH,loss
8C,JD,AH,KC,QC,loss
KH,QC,QH,9S,KC,win
9C,6S,TH,6D,6C,loss
AD,TD,7D,AH,KS,win
KD,TC,8C,JH,6H,loss
9S,JS,KS,KH,6S,win
6C,JC,TS,KD,JS,loss
9S,QC,JD,TS,7S,win
9H,TC,8S,AC,8H,win
7C,6D,QH,JH,KC,loss
KH,KS,KC,AH,TD,win
9C,JH,8H,7S,9H,loss
QC,JC,8S,9H,TH,win
AS,JC,KD,6D,AH,loss
9C,9S,7C,6C,TS,win
TS,KS,8D,JD,AC,win
QS,AH,TS,KH,TC,win
7D,AS,7S,KD,QD,win
TH,9H,7C,AC,KS,win
7H,TH,QH,AH,JD,win
QD,8C,6D,KH,JH,loss
7C,KD,JH,JD,AD,loss
7H,TH,JC,AD,QD,win
QC,9D,KD,TH,TD,win
TS,8S,QD,9D,QC,win
QD,TS,JC,7S,9S,loss
9C,6H,TC,AS,7S,loss
AS,TS,TC,8D,7H,loss
QH,AH,8D,9S,JH,loss
9C,6D,KD,9S,JH,loss
8C,QC,7D,9S,QD,loss
AC,9C,6H,JC,KD,loss
TH,6S,AC,QD,8H,loss
AC,AD,7H,6D,QH,win
AD,TH,JD,8S,KS,win
AC,TC,QD,6C,JS,win
KC,TC,JS,7C,6H,loss
KC,7C,6D,TS,9S,loss
8D,KS,9H,AS,QC,loss
9H,QC,QH,AH,8C,loss
JS,6H,6S,QS,JC,win
9S,QH,9C,8H,TC,win
JD,7D,TC,QD,7S,loss
KH,7C,9S,8C,JS,win
7S,AH,7H,AD,KC,win
QS,6D,7H,QH,9D,win
AH,7D,8H,AS,8C,win
7H,7S,8H,AS,8S,win
9H,9D,JD,KD,8S,win
QC,KD,TC,7C,8D,loss
TC,8C,TS,9H,7D,loss
9C,7S,8S,KH,8C,loss
JH,6C,6H,6S,9C,win
QS,9D,QH,9S,8S,win
KC,KS,AC,8C,7D,win
9D,8S,QC,TH,6H,loss
KD,JC,6H,JD,AC,win
TC,TH,QD,AC,KC,win
JH,6C,7C,JC,TC,win
9C,TS,7D,8S,QD,win
TH,QH,6D,9D,AD,loss
QH,6D,9C,AH,TD,loss
7C,JC,TD,KC,6C,win
AH,7S,9H,KS,TH,win
9D,6D,6C,6S,AH,win
TC,9C,KC,QC,7C,win
6D,JH,9H,AH,AC,loss
TS,QH,6H,9S,KH,loss
KD,JH,6S,JD,JC,win
6H,6C,6S,9S,JH,win
8C,TC,JH,KD,JC,loss
TC,9C,KD,KH,AC,win
TC,KC,8D,AC,KS,win
8S,TH,9C,AD,KS,win
AS,7C,QC,JS,6H,loss
JS,TS,KD,TC,TD,win
TC,7S,TD,7C,KS,loss
8D,JS,JC,KH,6S,win
8S,TC,6S,QS,7S,loss
AC,6D,TS,KH,AS,win
9H,6S,QD,KC,JD,win
8C,QC,TD,TC,QD,win
9H,QC,8D,6D,JH,win
8D,AD,6D,9H,TD,win
KD,AD,7H,8H,8C,loss
JH,6H,KC,7D,6C,loss
AC,7C,AH,QS,6S,loss
QD,KS,QC,6S,KD,win
QS,8D,7D,KD,9C,win
AD,6D,9S,JS,8H,loss
7S,8D,9H,6S,JS,loss
9H,6D,7C,KH,KD,loss
QC,8H,JS,QS,6C,loss
QS,TS,9H,QC,6H,loss
8C,6H,QS,JH,KD,loss
7C,JH,QD,KC,6H,loss
8H,JC,7D,9C,TS,win
KH,QH,KS,JD,9S,loss
QD,7C,AS,KD,QH,win
AC,QD,TS,TD,JH,loss
QC,KH,9C,TD,8C,win
AS,TS,9S,7D,8S,win
8C,QS,TD,9D,7C,win
8D,QS,AD,KD,QC,win
KS,8S,AD,TH,6D,loss
TD,6C,JD,8S,8D,loss
9S,QS,JD,AD,9H,loss
AC,AS,QS,KD,7D,loss
8S,7C,6C,TS,AS,win
9H,KH,AH,JD,7C,win
6S,9S,KS,7S,6H,win
6S,KH,8D,TC,AH,loss
QD,JC,QC,KS,9D,loss
QH,AH,KH,QC,7S,loss
6C,JH,6H,QH,8H,win
6S,TD,6D,9C,7D,loss
AD,QS,9H,KH,TD,loss
AC,7H,AH,AS,9C,win
9S,8S,8H,7D,AS,loss
AH,JD,KS,8D,8C,win
8H,AS,AC,AH,TD,win
AS,AH,KC,QD,QS,win
8D,6S,QD,8S,JH,win
KS,AH,8D,QH,KD,win
6H,9S,6S,TC,AH,win
6C,KS,KC,8H,KH,win
KH,8D,8H,TS,6C,win
KC,9C,TC,6D,7H,loss
JH,QH,JC,QD,6H,win
TC,8S,QD,9C,6C,loss
8C,AH,KS,QD,7D,loss
JH,7D,6D,TH,JC,win
6D,9H,7D,TS,QS,win
QS,AS,9H,8H,JC,loss
7D,AH,QH,KS,9D,loss
QS,7C,8C,JC,8H,loss
TH,9D,6C,7C,JC,loss
8D,9C,TC,9S,AH,win
JC,9H,7D,6D,AD,loss
7S,8H,JS,9S,KC,loss
QS,7D,7H,KC,QH,loss
TC,AC,9D,QD,7C,loss
8S,JH,6D,AD,JD,loss
8D,6C,9D,8S,TC,win
AD,TH,7D,TS,QD,win
JC,TC,KH,KD,7H,loss
7S,AS,TD,JH,KH,win
6C,8S,6H,JH,QD,loss
9S,TD,JS,QD,9C,loss
8C,JH,QC,8S,8D,win
QH,TS,TH,8D,KS,loss
9H,9C,JS,TS,KS,win
8D,TD,6H,7C,TH,win
AC,QD,QS,9D,KC,loss
8S,KS,9S,KH,9H,win
QS,8S,9C,TH,8C,win
8C,7S,6D,KD,AC,loss
QH,KC,AC,QD,QS,win
KC,AS,QS,AH,9H,loss
JC,9H,7H,AC,6S,loss
KC,KD,JS,6S,9D,loss
AS,7S,QH,8S,9H,loss
KC,7H,JD,TC,6H,loss
AS,6S,7D,JS,QC,loss
TC,9C,AD,JD,QH,loss
KC,JH,6D,9C,AS,win
8C,6S,6D,8D,9D,win
8H,TH,7H,9C,9S,win
QD,TD,8S,7D,7S,loss
9C,8H,TH,6H,6S,loss
TD,6C,8D,7H,TC,win
8C,9C,KH,AC,6D,loss
AS,KH,7H,TS,AH,loss
9C,TH,7H,6D,AS,loss
KS,KH,6S,8H,QS,win
6S,7S,KC,8C,QS,loss
9C,KC,JD,7D,TH,win
8C,QC,6D,6S,QH,win
TD,JD,9C,AH,QD,win
QD,9S,6S,JH,8D,win
TC,KC,TS,8H,JS,win
AS,AC,KC,QD,7S,loss
6C,AC,TS,9C,TD,win
QS,9D,6D,6H,TC,loss
QC,AD,TH,JS,TD,win
8D,7D,AH,6S,JD,loss
7S,KD,AS,TH,8C,loss
9H,9D,AS,KC,7H,loss
7H,QH,7C,TH,AC,win
JH,6D,8C,QH,JD,win
QD,6S,JS,6H,7S,loss
6D,KC,6H,QS,6S,win
6C,KC,AS,TC,QD,win
8C,7S,9C,TS,AH,win
QS,JS,TH,8H,QD,win
JH,TS,JC,6H,8C,win
JD,KH,TH,KC,7D,loss
TS,8H,AC,JS,7C,win
JS,TH,AS,AD,TC,win
QH,AC,9D,QC,6D,loss
9D,7C,7H,QC,6H,loss
KS,KC,KD,TH,9C,win
KH,9D,JS,QC,QD,loss
KS,7D,JH,JC,AC,loss
TS,9H,JH,8D,9S,win
JD,JC,6S,TS,8H,loss
AS,JS,QS,AD,9D,win
KD,TH,QC,TS,QS,win
AD,TH,QS,6C,6S,loss
JD,KC,9S,TS,AC,loss
9C,8C,7D,TC,AH,loss
6C,AC,AD,6S,AS,win
8C,8S,TC,8H,7D,win
KH,QD,QC,8C,JH,win
JC,8S,JH,KD,TH,loss
8S,JD,JC,QH,6D,win
QH,JC,AD,KC,KH,loss
9H,7S,8D,6D,9D,win
7S,AS,KS,7H,6D,win
JD,QH,6D,AH,9H,loss
JD,6D,7D,6S,9C,win
KS,AD,AC,QC,KC,win
9D,9H,6H,TC,AC,win
6S,7H,9D,AC,AH,loss
6D,KC,6C,QS,8C,loss
9C,9D,AS,7S,TC,win
6D,JC,JH,AS,8S,loss
KH,JC,QC,TC,QS,win
8C,6D,6H,QS,8D,win
JH,7C,7D,7S,8S,win
AS,AC,QD,JS,9S,win
7C,6D,TC,6H,7S,win
AC,6H,8D,AS,TC,loss
AH,7H,TS,JH,KH,win
TC,8S,JD,7D,QS,win
9D,JH,KS,QS,JS,win
AD,JS,9S,AC,8D,win
9H,7S,9S,9D,JS,win
7D,AC,TH,KD,8C,win
7H,6S,JH,QS,TH,loss
TC,TS,8S,9H,JC,win
QH,8S,KH,6S,AS,win
8S,9C,KD,QD,6C,loss
6S,KH,6C,QD,KC,loss
6H,6D,9C,7S,7H,loss
7C,AH,8C,JC,QD,loss
KC,TH,8H,7H,7S,loss
KD,7H,9D,AC,9C,win
QH,AD,7H,8D,TD,loss
TD,9S,9C,TS,JS,win
9D,AC,7C,QS,7S,loss
9H,TH,JS,9D,JC,loss
AC,QS,6D,AH,JS,win
JD,TS,9S,TD,KH,win
6S,7C,9S,TC,KD,loss
6C,AH,QD,6D,8H,loss
8S,JC,TC,7C,9C,win
TD,KH,7S,QS,QD,loss
TH,7S,9S,JS,7D,loss
JD,KC,AS,KS,AH,loss
6H,JD,TD,JH,7H,loss
AH,6D,6S,7D,KS,loss
6S,7H,6D,8S,KD,win
QS,AS,9H,6C,QD,win
TS,JC,QD,8D,KS,loss
8H,9S,QD,7H,KD,loss
JC,QH,6S,8C,7C,loss
AD,QS,8S,6C,KS,loss
KH,9H,8S,6C,TC,win
AD,QD,8S,QS,AH,win
6S,9H,TD,QS,AC,win
7D,9H,JH,8C,8H,win
7D,9C,JS,AS,KD,loss
AD,JC,7C,6H,QH,loss
9C,KD,6D,8S,KS,loss
6S,AS,7C,9S,6H,win
7C,JS,7S,8S,KS,loss
TD,8S,QS,9C,JS,loss
AD,JS,8D,7H,TH,win
AH,6S,JS,6H,8D,loss
8S,AS,7D,7C,TC,loss
6S,8D,AD,9H,JS,loss
9C,6H,TH,TC,6S,loss
AD,AS,QS,6H,QH,loss
6D,JS,7S,7H,TC,loss
KD,AC,AH,QD,7D,win
TD,9H,QC,JD,7H,loss
TS,8D,AC,TC,8H,loss
8C,KC,9C,6S,7H,loss
AC,JD,QC,7D,8D,win
AH,TS,6S,TH,8S,win
KC,AH,7S,QD,TC,win
JH,7S,KH,8C,AH,loss
9H,6C,QH,JH,8C,loss
9S,6S,8C,QC,KD,loss
KC,6H,KS,AC,QH,loss
AC,JD,JC,8C,6H,win
7S,QD,6D,JC,9C,loss
8H,9C,7C,AD,AS,win
6S,AS,KH,QD,6D,loss
QD,6C,7C,9D,QC,win
8C,9H,6C,6D,QD,win
TC,6S,9D,TH,8S,win
QC,7S,JC,8H,AH,loss
7S,TH,6S,QC,JS,loss
JH,9C,QS,8S,9D,win
9D,QS,9H,8H,KS,win
JC,6S,QS,9D,KS,loss
8C,7S,TD,KS,JC,win
QH,6C,AD,9H,7S,loss
QS,8H,9H,8C,KC,win
6D,KS,TD,JH,8C,loss
KH,TD,AH,9H,6D,loss
TS,6S,8C,8D,9S,win
TS,8D,9C,QS,QD,win
TS,KH,TD,7S,QS,win
TD,7H,JS,7C,TS,loss
8D,KD,TD,KS,9D,win
AH,6H,TS,9H,8D,loss
QC,AH,6D,8S,6C,win
TC,AH,AS,QS,6D,win
KH,QS,7H,AC,KD,loss
JH,QS,9H,8S,JS,win
TC,KH,9C,JC,KC,win
TD,TC,QD,6D,KH,win
QD,TH,JS,7D,8D,loss
6C,QC,JD,TH,6H,loss
TH,JD,7D,AS,JC,win
9D,KH,7S,8S,8H,win
TS,KS,8S,8C,JC,win
QS,KS,QD,JC,9D,loss
JD,6C,9S,AC,7H,loss
KH,TS,7C,9C,QH,loss
TH,6H,9D,7D,JS,loss
JC,KH,KS,9S,JS,win
9C,6D,6S,AS,KD,win
KC,7C,JS,QC,JH,loss
QD,QS,8C,KC,KD,win
9D,TD,JH,JD,6D,win
TD,TS,8H,QH,9S,loss
TC,6D,QS,7D,TD,win
AC,TD,8C,JC,8H,loss
QD,6H,6D,AS,AD,loss
7S,JD,8D,KC,QC,loss
JC,JD,QC,8S,JS,win
6D,KD,8H,9C,7C,loss
AH,AD,9C,KS,7S,win
JS,AD,AS,6S,7C,win
9C,8D,9D,TC,AH,loss
QD,7S,QC,AS,6D,loss
6S,8C,KD,JS,8D,win
KD,JS,KC,6D,6C,win
7D,JC,AD,8C,QD,loss
6H,KS,AS,8D,JC,loss
8H,TD,QS,6C,7C,loss
8S,6H,7D,9D,6C,loss
