card1,card2,card3,card4,card5,bet1,bet2,result
AH,9H,9D,QC,8H,c,r,win
QH,TS,AC,KH,JS,c,r,win
9D,9S,9C,KH,QD,c,r,win
TC,9D,7H,KC,7C,c,r,win
9S,AS,AD,QC,8C,c,c,loss
QC,6S,QD,7D,7H,c,r,win
TS,TD,QS,KH,KD,r,r,loss
KH,7D,QC,TH,QH,c,r,loss
QD,6C,9H,7H,6S,c,r,loss
8D,QS,JH,AD,7S,c,r,win
QC,QH,7C,KH,AS,c,r,loss
6S,6H,8S,KH,8D,c,r,loss
6D,QC,9C,9D,AS,c,r,win
TD,KH,JD,8H,JC,r,r,loss
AH,QH,6C,TS,KS,r,r,loss
7C,9D,6H,6S,8C,r,r,win
JH,8D,AS,6D,9C,c,r,loss
6H,8C,QH,TC,7H,r,c,win
QD,8S,8C,7D,TS,c,r,loss
6C,TD,9S,7C,6H,r,c,win
KS,AD,9S,9D,AH,c,r,win
6D,AS,KS,KH,6H,c,r,win
7S,7H,KC,8H,KH,c,r,win
JC,6D,8H,AC,TS,c,r,loss
AS,JH,TH,AD,QH,c,c,win
6D,KC,6S,JH,JC,c,r,loss
6D,7S,7D,QC,6H,c,c,win
TS,AS,6S,6H,7C,c,r,win
6S,AC,9D,7C,KC,c,r,loss
9S,QH,KH,KD,JC,c,r,win
AS,KS,9D,QS,KH,c,c,loss
8H,KS,TH,QD,8S,c,c,win
KH,7S,QH,8H,8C,c,r,loss
QS,AS,8H,7H,AH,c,c,loss
9C,9H,7C,6S,7H,c,r,win
AD,JH,6C,AH,QH,c,r,loss
TC,8C,KH,6H,7S,r,r,win
KS,9D,JH,9S,QS,r,r,win
7C,JD,QC,8S,AC,c,r,loss
JD,7H,JC,QH,6S,c,r,win
QS,QD,JD,9D,8H,c,r,win
8S,TH,QS,6C,KD,c,r,win
QC,AC,JC,6D,KC,c,c,win
KD,6C,TD,AD,7H,c,r,loss
KD,9D,AD,8H,QS,r,r,loss
6D,KS,9C,7C,6S,c,r,loss
8D,9S,AD,JD,9H,c,c,loss
AD,6C,AC,7H,9H,c,r,loss
TD,9H,6H,KD,QH,c,r,loss
JH,JS,JD,7H,AC,c,c,win
9S,JS,9H,KS,AC,r,r,loss
8H,QS,AC,9S,6H,c,c,loss
QH,KS,QD,8C,7S,c,r,win
TH,6D,KS,6H,9S,r,r,loss
KD,8D,QS,AS,9D,c,r,win
QH,TS,AS,7S,TD,c,c,win
TS,QD,8S,8C,JD,c,r,win
KD,6C,QC,KC,7S,r,r,loss
8D,QC,9H,TC,6H,c,r,loss
8D,KC,JC,9C,QH,r,c,win
AD,6S,6C,6H,TC,r,r,win
7H,9C,6C,KH,7S,r,r,loss
TC,KS,AC,6C,6H,r,r,loss
KD,TS,6H,8D,6C,c,r,win
7D,KC,JD,KS,KH,c,r,win
7D,JS,9S,6S,7C,c,r,win
QD,QH,AH,QS,KD,c,c,win
AS,AH,6C,TH,JD,c,c,win
JH,AC,TS,9C,TD,c,r,loss
8H,QS,TH,KS,JD,c,c,win
JD,QH,JH,8H,QC,c,r,win
6H,JD,6C,7S,KD,c,r,loss
7C,6S,KC,QS,9D,c,r,loss
6C,TH,7H,AH,9C,c,r,loss
QC,8H,7H,JD,9C,c,r,loss
6C,8C,JD,8D,7D,r,c,win
9C,QH,8D,6D,AD,c,c,loss
KC,6S,7C,9H,JH,c,r,loss
TD,KH,TC,KD,QH,c,c,win
JS,JD,8D,TD,QD,c,r,win
7C,8H,QS,KH,8C,c,c,win
AD,TC,QD,KC,9S,c,r,loss
QH,QC,TC,AS,7D,c,c,win
JS,AD,JD,KD,AH,c,r,win
JS,QC,JD,TD,AC,c,c,win
KH,TH,KC,QS,9S,r,r,win
KD,6C,JS,6H,TH,c,r,win
