card1,card2,card3,card4,card5,card6,card7,result
JS,6D,7H,TS,KH,7D,AS,loss
8C,JH,QS,TS,6H,6S,AS,loss
8S,JH,6C,QD,8D,KS,JS,win
TH,KS,6S,7S,7H,JC,AD,loss
JS,9H,TH,6D,JD,8H,8D,win
TD,6H,QD,QS,QH,KD,6S,loss
TC,6S,8H,9C,8D,6H,6C,win
TS,TC,7C,8D,6C,9C,QH,win
JC,TC,8S,6H,9C,7D,QC,win
KC,9C,AD,8C,JH,JS,JD,loss
8C,QS,7S,6C,AS,JH,6D,loss
AC,JS,KC,6C,6D,8H,8D,loss
TH,AD,QC,JH,7D,8C,JC,loss
JC,6C,TC,KD,6H,QC,AS,win
7S,TH,QH,KC,8H,QD,6S,loss
7D,KS,QC,TS,AC,6C,7H,loss
JD,AH,KC,7S,QD,JS,6H,loss
9C,AH,JD,AC,AS,JH,JS,loss
9H,JC,8C,AH,KH,8H,6H,win
KS,JH,9C,7H,8S,6H,AD,loss
KC,6S,6C,KD,KS,QC,JC,win
9D,TH,6D,AH,8D,JS,AS,loss
KH,JC,KS,JD,6C,8D,KC,win
7D,8D,JS,6C,KS,AC,QC,loss
9D,TD,8D,QS,KS,9S,7C,loss
8C,9D,6S,8D,9C,KS,7H,loss
7C,KC,AD,KD,8C,QC,QD,win
TC,6D,TS,TD,6S,7D,8S,win
6C,JH,KD,TD,JC,8S,AD,loss
8D,AC,JC,JS,6D,KD,7C,loss
KD,TS,7C,AS,8S,8D,JD,loss
JD,7D,9D,QD,7H,QH,TS,win
AH,JH,TD,JD,AD,KD,9C,win
AC,QS,TD,TS,8C,8S,KS,win
KC,7H,JH,TC,9S,KS,AH,loss
7C,AS,JC,9H,8C,KH,8D,loss
7D,TS,KS,JS,QS,QD,6S,win
7S,AD,KS,6D,QH,JH,8D,loss
KH,KS,AD,6H,6S,QC,8D,loss
JD,JS,KS,KH,7C,9C,9H,win
JD,6D,8H,9H,9S,7S,8S,loss
6C,AS,TC,JS,7H,TS,7C,loss
7H,8C,QS,JD,KS,6S,QC,loss
9S,AH,7C,8D,QH,TC,7H,loss
6S,6C,TC,KC,8H,9C,9H,loss
9D,JH,9C,QH,9H,9S,QD,win
KD,AC,KC,8S,QD,TC,KH,win
TH,8D,JH,9C,6S,9S,8C,loss
6C,7D,7S,8H,TS,8C,QS,loss
QS,KS,9H,8C,8H,6H,TD,loss
QD,KH,7D,9D,AS,7S,8S,loss
JC,JD,QS,9H,TH,9S,KC,loss
JD,9H,AH,TS,JH,8S,6H,loss
7C,TD,KD,6S,TC,AH,KC,win
KH,6S,JD,JC,8H,TH,7C,loss
6D,8D,JC,7H,9S,TC,8H,loss
AH,8C,8S,6S,TS,KC,7H,win
9D,AH,JS,AD,6D,7C,JC,win
JC,AH,JH,TC,KH,JS,KD,loss
AC,AS,KH,6H,TS,8C,9H,loss
AH,6S,6H,9S,KC,KH,QS,loss
7C,TS,KD,QC,JS,6C,QS,loss
QH,JH,AH,TD,JS,8H,AC,win
AS,TC,6D,JS,9D,KC,7C,loss
AC,AD,KC,TC,KD,QD,7H,loss
JH,AS,7S,9D,KC,6S,QD,loss
QD,TH,7S,TD,9D,8C,KH,win
QC,AS,QH,JC,7D,JS,7C,loss
JC,6D,JD,QH,TC,JH,8D,win
KH,6C,QS,8H,AD,9C,6D,loss
9C,9S,JD,7H,QD,8S,6C,loss
JH,QD,AD,KD,6D,KS,JS,win
KC,AC,JD,7C,7D,QC,TS,win
6C,QC,JH,7H,AD,KS,QH,loss
AD,KC,8H,AC,7S,KD,KH,win
6S,9S,JS,6C,KC,7D,8C,loss
TD,QH,6H,KC,8H,KS,AS,loss
9C,TD,TC,7C,KH,7S,TS,win
TC,6S,7S,KH,9H,KC,QD,loss
6D,8H,7H,7C,QD,9S,AH,loss
6S,9D,KS,TD,9C,6D,JH,loss
7H,6S,TH,6H,7S,7D,TD,win
TH,7H,9C,9S,7D,8S,7S,win
JS,9D,7H,KH,6H,7C,QC,loss
9H,9D,QS,QC,KC,6S,KH,loss
8H,TD,JC,TC,7C,9D,AC,win
6H,TD,KC,QD,6D,KS,7C,loss
8S,AC,AH,KH,7D,QC,8D,win
9D,6C,7D,KS,JD,8H,KH,loss
KD,7S,AC,AD,KH,JD,AS,win
TD,KH,JS,7S,8H,QD,TC,loss
6C,6S,KH,QD,JC,AC,6D,win
TS,TH,8D,JS,KH,7C,6H,win
6S,JD,JS,TC,KH,7D,JC,win
8D,JS,KD,8S,QD,7D,JC,loss
KD,AD,TS,QC,JC,JH,9C,win
JH,KC,KD,9S,KS,7D,QS,loss
AS,9H,JC,QS,TH,AC,9D,win
9S,8C,JS,KH,TH,KS,JC,loss
8D,TH,8S,AS,KS,AC,TS,loss
6S,AD,8D,JS,8C,9S,AH,loss
AS,6C,8C,QC,8H,KH,JC,loss
7C,8H,6C,7H,8D,JS,QS,win
QH,6C,JS,JD,9D,8D,QS,win
6D,TD,JH,9C,7D,7C,QC,loss
QD,TD,6C,9C,8D,AS,7D,win
QH,8D,AC,AS,7H,9D,JH,loss
KC,6S,TS,8D,TH,JH,9D,loss
AH,JD,7D,QH,8H,JC,AS,win
AH,QH,6D,TC,AC,KS,KD,loss
TC,9C,JD,QH,AS,QD,9D,win
9D,TD,7S,8D,JH,8H,7C,win
AS,9S,7H,KH,AH,7D,8C,loss
8C,QS,6D,QC,9C,6C,JC,win
AC,8H,7S,6S,TD,TC,TS,loss
TD,JH,7C,9C,6H,8C,QH,win
7S,QD,8C,9C,TS,9D,6H,win
JD,7C,QD,6H,AH,KS,8S,loss
9H,6D,TH,7D,AS,KD,AH,loss
KS,KD,6D,JD,9S,8S,9C,win
JD,JH,JS,8C,KH,TD,6D,win
JD,QC,8S,8H,AC,AS,6C,loss
6C,9S,JC,6D,TH,8C,TD,loss
AH,6D,JC,8D,TS,9C,TH,loss
TC,7D,QC,6H,KS,8S,KD,loss
6C,JC,QC,6S,8D,QH,JS,win
AS,QH,JS,JD,7D,TS,9C,loss
6S,8S,8H,9H,6C,TD,QS,loss
QC,8S,AS,8H,QS,8D,QD,win
AH,6S,9S,TD,8S,7H,7D,win
AC,AD,7H,6C,9S,KC,TH,loss
7D,AH,8C,9S,8H,9H,QH,loss
7D,8D,AC,TS,7H,9D,AS,loss
9C,6D,QC,TH,AD,KS,6H,loss
7H,7C,9H,8C,8S,6C,JC,loss
8C,9H,AD,6H,KH,JH,7S,loss
TD,AS,9D,7H,8C,JS,7D,win
7H,JH,QD,AS,TD,TC,6C,loss
TS,JD,AC,7S,TD,9C,QC,loss
9H,AH,KH,AD,JD,6C,TC,loss
9D,7D,6C,8D,6D,7S,QC,loss
JD,TS,KS,6H,9C,7D,6C,loss
AS,JS,8D,AC,6S,8H,9C,win
8D,TC,KS,AS,JH,QS,KC,win
JC,TD,7S,AC,7H,QD,AS,loss
AH,9S,6C,KC,7D,KD,QD,loss
JH,AD,TS,8D,KC,9D,6S,loss
7C,TD,AH,9H,KH,TH,7H,loss
KS,QS,TH,9D,TS,8S,JH,win
JH,7D,QH,9D,6S,9H,TH,loss
JH,9C,AS,7D,QS,6D,QD,loss
QS,8C,JD,JS,6D,9H,7C,loss
JC,KH,TH,QD,7D,AS,8D,loss
7C,QS,JS,TC,QC,6S,TH,win
6S,TS,JD,6H,8H,AD,QD,win
AD,AS,8H,7D,KS,7H,TS,win
7S,AD,7D,8S,KD,JS,QS,loss
KD,TH,9S,KH,KS,JH,6H,win
QD,KD,JC,7C,6D,7H,KS,win
7C,8C,9C,TS,7D,AD,JD,loss
AH,TD,6C,8D,JD,9H,6D,loss
AH,JH,TC,6C,AC,TD,9C,loss
TC,AS,QH,KH,6D,6H,QD,win
9D,KC,QS,8D,AC,JS,TH,win
QC,JC,9D,AD,QH,7H,TH,win
AS,TS,QH,AD,8D,JS,KD,win
QH,8H,8S,6C,AD,8C,7H,win
QD,JC,QH,KH,AD,KS,8S,win
AD,QS,TC,TS,KD,8S,7H,loss
7H,AD,9C,JD,6C,9H,JS,loss
8S,9D,9S,AH,JH,JS,TD,loss
TD,6C,9S,7C,6H,KC,KH,loss
KS,TS,QS,8C,JC,TD,7C,win
JD,6H,7C,7S,9D,6C,QS,win
TC,7C,QH,9H,8S,8H,KH,loss
KH,6S,8C,JD,KS,9H,TC,loss
JC,KD,6C,7C,TD,QS,8D,loss
KH,TC,8S,6H,JD,6C,9S,loss
QH,AC,AH,9H,KS,9D,JH,loss
7D,JS,KS,QC,9C,9S,AH,loss
8H,7H,QH,8C,TS,TH,9D,loss
7S,AS,6C,7C,TH,KD,TC,loss
QH,6S,9C,6D,8S,KC,JS,loss
JC,7D,7S,QD,AC,TS,JS,win
6D,8H,7S,KD,7D,6C,AD,loss
8H,QS,KC,JC,9H,TD,TC,win
JC,JS,AC,KH,9H,9C,7H,win
6H,6S,KC,8C,7H,AC,QC,loss
8C,KD,JS,KS,TH,KH,AD,win
9C,TD,AD,KH,6H,QS,8D,loss
KH,8C,AH,QH,6D,9C,KC,win
QC,7D,9H,TC,JS,8S,JD,win
TC,7H,7D,TS,QD,TH,QS,win
8S,9D,TH,JH,9S,QS,JS,loss
7C,KC,9D,QH,7S,7H,AS,win
AD,KC,QC,QH,8H,AC,QD,win
QD,KH,QS,6D,KC,9S,JC,win
7S,TS,6S,8H,KC,TD,QD,win
KS,8S,JH,7C,JC,6D,TS,loss
QC,9D,AS,TS,6S,9H,8D,win
KD,9D,JC,9C,QH,8H,6C,loss
7S,JS,8H,TC,AD,9H,KH,win
QS,9H,9C,AD,AH,KC,QC,win
QS,TH,QH,6D,6C,7S,JH,win
QS,QC,JC,TH,8S,8D,QD,win
KC,TS,6S,TD,JC,AD,6H,win
8C,7D,8D,7H,JC,TS,AC,win
9H,KC,6H,JS,QH,9D,JH,win
KD,JH,JS,TH,AD,TD,QD,win
TC,KD,QC,7D,JD,TS,9C,win
6D,JS,JH,KS,TD,9D,9S,win
QC,8C,AH,QS,KH,TH,QD,win
AS,KS,9H,6C,8H,JC,QC,loss
7H,QD,JC,6C,7C,KS,AS,win
JH,TS,7H,9D,8D,KH,JD,win
TH,9S,9H,7C,TC,7H,AC,win
6S,AH,9H,TH,TC,QH,JC,loss
8D,8C,KH,6S,AD,QD,KC,loss
TD,9C,8H,9D,KH,QD,6C,loss
6D,7H,7S,AS,TD,AD,7C,win
8D,TH,6C,JS,9S,7D,8C,win
QS,7D,9H,KD,TD,AH,7C,loss
QD,JC,JH,9C,QH,7D,6D,win
6S,TH,8S,9C,JH,KH,KS,loss
AS,8D,JD,JC,KH,KS,TC,loss
JS,KD,AH,QD,7H,KH,9D,win
8C,7S,TS,JC,AH,6C,QD,loss
TS,8H,QH,QC,AC,AD,7H,win
QS,6S,9S,AH,9D,8H,JD,loss
TD,TS,JD,AD,7C,8S,AS,loss
9D,TD,TS,TC,8S,8D,9C,win
AC,KC,TS,7C,QC,KH,TH,win
8D,6H,JH,AS,6D,QD,7H,win
QH,7C,TH,QD,TC,KD,9H,win
8S,6S,8D,QD,JS,TD,JD,loss
TS,QS,TH,QH,9C,AC,7S,win
8H,6H,7D,6S,KC,8C,AS,win
8C,6S,7H,QH,AS,7D,JC,loss
TD,AC,JS,7D,8H,9D,6S,win
QC,JH,QD,AH,KH,JS,JC,win
TC,AD,8D,JH,QS,AC,6C,loss
7C,6S,TC,AD,9D,8D,6H,win
TD,8C,9D,6H,JD,QD,QS,win
TH,JS,JH,6S,7D,9D,QD,win
KC,AD,9D,AC,9S,KS,QD,win
9C,9S,6H,QD,KH,6S,TS,loss
TC,TD,9D,7C,8S,AH,AS,win
8H,8D,6C,QD,KH,7C,7S,win
JH,AD,AC,9S,TD,QD,QS,win
8C,JH,6H,6S,TS,AS,8H,loss
JS,7C,JD,QS,8S,9D,9C,loss
9H,JS,8D,KS,JC,7D,KH,loss
6S,7D,AH,QC,JC,TH,JH,loss
9C,6H,8D,9D,AC,TH,QC,loss
JH,TS,JC,QH,9H,KS,7D,win
7H,JS,QS,8D,TD,TS,AC,loss
KC,QS,QC,TD,9C,6S,8H,loss
QS,6D,TD,8S,AS,KC,7H,loss
KS,TD,9H,9C,AH,7D,8C,loss
7C,9C,6C,6D,AS,TS,7H,loss
6C,6H,KC,8S,8D,6D,JS,win
JH,KD,KS,AC,9D,8D,6C,win
KC,9D,TS,AC,8S,8D,6S,loss
TD,TS,6H,AS,7S,JC,JD,loss
AH,JH,7D,8S,TS,9S,KS,win
KS,7S,AC,8C,QS,7H,AD,win
9D,QH,QD,KC,8S,QS,9C,win
7C,9H,AH,KS,JH,TC,7S,win
8S,KD,JD,AC,TH,TS,8D,win
TH,6S,AH,TC,9S,7C,9H,win
9D,TH,KC,AD,KD,7S,6D,loss
7C,QS,TC,JS,9C,TD,8C,win
AD,QC,JH,TD,6D,TC,KH,win
7C,KD,JH,TD,QD,AC,JD,win
6H,TD,KC,TS,AC,JS,TH,win
8D,6C,AS,7D,8H,JS,TH,loss
AC,AH,9C,7H,KC,9D,8C,loss
TD,7D,9D,QH,6D,KC,KS,loss
7S,QC,6C,TD,KD,AH,JH,win
7S,6D,AC,TS,QD,TD,JH,loss
JH,TS,7S,KS,6C,KD,KC,loss
TS,KS,JC,8C,6H,JH,7C,loss
QS,JS,JD,QH,JC,JH,7S,win
QC,9C,KC,8H,7D,TH,7S,loss
9C,TD,6H,TC,7S,AC,8H,loss
JC,6D,8D,6C,TS,8C,QD,loss
TS,8C,QS,JH,9C,KD,AC,win
KC,8C,QH,9S,KS,AH,JC,win
9C,JS,6C,6S,TD,KS,AD,loss
8H,AH,8D,TS,KC,JH,AC,win
KS,6D,8D,KH,TC,7D,JH,loss
6D,8H,9H,7H,QC,TH,6C,win
KD,TD,8S,JH,9D,AD,6D,win
JC,8H,6C,9H,8D,9C,KD,win
KH,JS,TC,6H,KD,8S,8D,win
KD,8H,8S,QS,QH,8D,QC,loss
QS,7D,TD,9H,7C,JC,6S,loss
KS,9H,8S,7S,JC,7H,AC,loss
KC,JH,TH,8S,9H,KD,JC,win
6D,6C,KS,JS,AH,JC,AS,loss
8D,6H,AS,9S,KS,TD,AH,loss
JS,7D,KS,TD,AH,QS,KD,win
TH,9C,JD,AH,QC,9D,AC,loss
JS,8C,7H,6D,AH,AD,8S,win
AC,QH,TH,8D,8H,KC,7C,loss
QS,7S,TH,7D,8C,KS,AS,loss
KD,6C,7C,JC,QS,QH,KH,win
AH,JC,QS,6S,JS,7C,KS,loss
AS,KS,TD,KD,9S,8S,7D,loss
8D,9S,7C,AS,KS,AD,6H,loss
8C,7H,AD,TH,8D,KH,KC,loss
QH,QC,JH,QS,TC,JC,TD,win
TD,AH,7S,QS,9D,JC,QH,loss
AC,7S,KC,QS,8S,9H,TS,loss
TS,JS,TD,QH,6D,KD,TC,win
AC,9D,AD,7S,QD,7H,QS,win
KS,AD,QC,9H,6D,6C,AC,loss
TH,QC,7D,QH,8H,8C,6D,loss
AC,TC,9S,QH,AH,6D,TD,loss
8D,KC,TC,TS,QS,7C,KH,win
QC,TD,QD,7H,8D,TH,AH,win
TH,6D,8C,8D,6S,AS,7H,win
TD,AC,8S,6C,AS,9H,7D,win
AC,KD,9D,7D,9H,AS,QS,win
8H,6H,7D,JH,AH,TH,TS,win
8S,AS,TH,QS,AH,6H,KC,loss
QC,TS,8H,TC,6C,AH,TH,win
7D,9S,6D,KH,8S,6H,8D,loss
TS,JS,JH,9S,QC,QH,7H,loss
JH,KH,QD,9H,TC,AS,6S,win
JH,8D,QC,8C,TS,JS,JD,win
AH,7H,AS,JD,KC,9H,TS,loss
JC,6C,9C,QH,KS,JS,6H,win
6H,8C,9D,8D,QC,KC,6C,win
6H,TS,7S,9D,JH,TD,JD,loss
JH,9C,9D,7C,6H,JS,7H,win
6D,8D,7D,7C,8S,QS,6H,loss
KS,9H,AS,7C,7D,6H,QC,loss
JH,TD,AH,TS,TC,KC,8S,win
JC,QC,TH,7D,TC,KD,8C,loss
6S,AD,AS,6C,8S,7S,6H,win
AH,9S,TD,AC,TC,9D,6C,win
QC,TH,8H,QD,JS,JH,KH,win
8C,6C,KS,AC,6S,TH,9C,loss
7S,9H,7D,6S,9C,KD,AH,win
6D,JS,KS,9D,7C,8H,TC,win
QH,TD,TH,6H,QD,QC,KH,win
9D,AD,TD,8D,QH,7S,6S,win
TH,7S,TC,6H,8C,JD,AD,win
8H,6D,AH,TC,AC,6H,7D,loss
8S,9D,AS,AH,TH,7D,9S,win
9S,TH,AD,7D,JS,JH,7H,loss
9D,8C,TS,JS,TD,QC,QD,win
6D,8C,7S,QS,6C,9C,8D,win
8C,QS,9D,6D,AD,QD,8S,loss
6H,7H,AD,6D,QD,9C,QS,loss
KC,AS,8D,TD,6C,9S,6S,loss
QH,KD,8S,JC,8C,JS,7D,loss
7C,TS,6S,JS,QH,7S,7D,win
TC,KD,KH,AD,JC,QH,9H,win
AC,6D,KC,7C,8H,6S,TH,win
7S,6S,JS,6H,AD,KS,7H,win
7C,7D,9D,KH,JS,TD,JH,loss
QD,9S,JD,6S,TH,6D,JH,loss
JC,AC,QS,JS,TC,KS,7S,win
7C,TS,QD,JS,TH,JC,7H,win
7S,KC,9S,TD,JC,6C,TS,loss
JS,TH,TC,8S,AS,6C,7H,win
8H,TH,9C,9S,KS,6H,TS,win
TS,JS,8H,QS,KC,TC,JH,win
KD,8D,8S,8C,JS,QD,JD,win
7H,8H,TC,QC,9C,JH,9S,loss
JS,JC,KC,TD,7H,QS,QD,win
JD,6S,6D,KH,7C,JS,QC,win
KS,JH,TH,QD,7C,9C,8D,win
7S,6D,9C,JD,TC,QS,TH,loss
7C,QS,AH,JH,8C,JD,TH,loss
6H,KH,QS,KD,8C,QH,9D,loss
8S,9S,JS,JC,AH,9H,KD,win
6H,7D,JC,9S,KS,7C,6S,loss
8C,6D,7C,QD,9S,AC,KD,loss
8H,6D,KD,JH,6H,9H,AS,loss
8D,8S,6S,TH,7C,QH,JS,loss
9C,QC,AH,9H,7H,JD,AC,loss
7D,TC,7S,TH,TD,AD,8S,win
6D,7C,KH,9S,9C,JD,QD,loss
QC,KC,TH,6H,9C,QH,6S,win
KC,JS,AH,QD,KD,JH,8C,win
KS,9H,QC,6H,9S,6D,6C,loss
AS,KH,QC,6S,8D,6H,KC,loss
8S,QC,AS,8H,7S,QH,7D,win
9H,AH,7H,AS,6S,QD,QS,win
KD,7H,AH,AD,6H,7S,TS,win
AC,9H,8H,AS,6H,6C,9D,loss
8D,9H,9C,KD,KS,JH,7D,loss
QH,TC,8H,6C,TD,6H,AC,win
TC,8C,6D,QH,8H,QC,JD,win
JH,KC,7C,KH,6C,8D,7S,loss
6C,6H,7C,8C,AH,QH,KS,loss
AH,AC,QS,9D,9C,QC,KC,loss
KD,9D,7C,TH,AS,6S,8D,win
8C,KD,QD,6C,8H,TH,JC,loss
6D,QC,AD,7D,8S,KS,KH,loss
9C,JS,8C,TS,JC,7H,8S,win
7C,6D,7D,8D,9D,6C,KC,loss
8C,9H,9D,6H,TS,JD,AH,loss
7C,8C,KD,9H,QC,6S,TC,win
JD,QS,7D,6D,7H,8S,TH,loss
KD,8S,TC,JC,KS,6C,AC,loss
JS,7H,8S,6H,QS,9H,JC,win
QD,6S,8C,9S,TH,TC,TS,loss
JH,KH,AC,8C,6H,7H,AS,loss
9C,9H,AS,6S,AH,6D,7S,loss
7D,JS,AH,AC,7S,6D,KD,win
6H,JD,9H,QD,KS,9D,9C,loss
7C,KD,9H,TD,JC,9C,7D,loss
8C,6S,8H,AS,AC,JS,9H,loss
8H,AH,AD,JC,AS,JS,6C,win
6C,JC,8H,TH,KD,JS,TS,win
TC,QD,QS,AH,7C,9H,AD,win
AS,JC,KD,8H,KH,TC,AH,loss
JD,6S,KD,8H,AH,7S,JS,loss
KS,TC,9S,QS,9H,JS,6S,win
6C,7D,JS,TC,TS,KC,9H,loss
QS,9H,8C,QD,TC,6H,8D,win
TD,KS,AC,AD,9C,QC,8C,loss
AH,AC,9C,KD,7D,6H,8D,loss
KC,9S,6S,KD,QD,JD,AC,loss
AH,TC,6H,8D,JD,QS,JS,loss
7S,9S,KS,TD,6S,AS,JS,win
7S,JH,AD,KC,8D,JC,8S,win
7C,JD,6C,8D,JC,QS,KC,loss
9S,TD,6C,9D,9H,8C,7H,win
AC,7C,8D,JS,AH,7H,9S,loss
TH,9D,6C,8S,6H,6D,KD,loss
7C,TC,QS,6H,KC,AS,JS,win
JD,KD,9D,6D,6S,JH,AC,win
8H,8D,QC,TC,7D,6S,JH,win
TH,7H,7D,6C,8S,JC,AS,loss
AH,TS,KH,QS,AD,6H,QC,win
7C,TC,9S,9D,9C,8C,QC,win
AS,7H,KC,KH,9D,JH,TS,loss
9S,AH,KS,AC,6C,9D,8D,loss
QH,QS,KH,AC,QC,6C,TH,win
6H,QS,TH,8H,AC,9D,6D,loss
QS,6C,8H,6S,9S,KD,QH,win
TH,8H,KS,TD,AD,AC,8D,win
TC,6H,QC,JC,9S,7S,AD,loss
TH,6S,9S,KD,KC,AD,JH,loss
9H,JD,7S,8H,TS,AS,TC,loss
TS,TC,JH,KS,7S,6C,QD,win
7D,TC,AD,TD,JD,8C,8D,win
TD,JH,QC,AC,KC,AS,9C,win
9S,JD,7D,TD,JS,AC,AS,loss
TC,KH,6D,QS,7D,TS,9H,loss
8C,7C,7H,8S,JC,JH,6C,loss
TH,9D,AS,JD,7D,AC,QC,loss
6S,AC,6D,6H,KS,TH,8C,win
TC,JH,8C,AD,8S,7C,TD,loss
6H,QC,8S,AD,JS,KD,KH,loss
KC,QS,6C,6S,QC,8H,JH,win
JC,QS,QH,AD,TH,6H,9H,win
6H,7S,8S,8C,JC,QS,7H,loss
6D,7C,AD,6H,QC,8C,9H,loss
8H,7C,TC,KD,9H,KC,AD,loss
9D,AH,JH,TS,6H,JS,7S,loss
9S,6C,6H,9H,6S,9D,AH,win
TH,8C,9D,6C,8S,9C,7C,loss
QH,8S,KC,AH,7S,QD,KD,win
AS,7H,AC,JH,6H,JD,8H,win
9D,QC,KD,KH,QD,KC,TH,win
TH,AC,7C,8H,KS,9H,AD,win
JD,6C,AC,6H,AS,9H,9S,loss
TH,8H,TS,9H,KS,7S,AS,win
JS,KH,KC,6D,JH,QD,7S,win
8C,AD,8D,JS,TD,AH,9C,loss
TS,6D,6H,7C,AC,9H,AH,loss
8C,QH,JS,QD,6C,7H,KH,win
JD,9H,KH,JC,QC,8H,TH,loss
9C,6D,9D,8D,TD,8C,KH,loss
JH,6S,KD,TD,JC,7H,TC,loss
JC,7C,AD,QS,7H,9C,QH,win
TD,JH,QD,7S,JS,AC,6S,loss
TS,KD,9S,AS,8C,QC,7H,loss
KD,AH,9C,JC,JH,TS,TC,loss
8D,KS,JS,AC,TC,9C,QH,win
QH,KC,AD,JD,TH,6C,7C,win
TH,TD,AD,QD,7D,7C,6C,win
QD,TH,TC,8D,KS,KD,9S,win
6S,JS,QD,8H,6H,QS,AH,loss
KH,AS,8D,9D,JH,6S,9S,loss
AD,TC,8S,7S,6H,7C,7H,loss
QH,QC,6S,6D,JC,KS,7C,win
KC,8S,6H,JD,QS,AD,QH,loss
AD,QD,JS,KC,TH,QC,7S,win
7S,KS,TS,9C,8S,8D,KC,loss
QH,8D,JS,8C,6D,AD,JC,win
6S,8S,KC,6H,JD,QD,QH,win
JD,QS,8S,JH,TH,9H,TS,win
9D,8H,TS,6S,KC,QC,JC,win
JH,7H,KD,8S,8H,7C,JD,loss
KS,QH,8S,6H,TH,AS,8C,loss
8D,QS,6C,7D,AD,KD,JC,loss
TD,QH,7S,AH,KS,QS,9C,win
QC,KS,AH,7C,TC,JH,6H,win
6C,QS,AH,8C,TC,JD,JC,loss
8S,7S,8D,AS,6H,JS,QD,win
TS,8D,6H,7H,7D,KD,9H,win
8H,TC,9D,TH,9S,JH,JS,win
TC,TS,6D,7C,7H,QC,JS,win
JC,JS,6C,KH,TH,AH,7C,win
7C,9H,7S,6C,8S,JH,9D,loss
JH,KD,AH,7C,6C,KH,TC,win
7H,JH,8D,KC,7D,QH,AC,loss
QH,8H,AH,JC,JD,6S,AS,loss
AD,AH,QC,TH,TC,9D,KD,win
8S,KD,8D,JS,8H,JC,AC,loss
AC,9D,7S,7C,9S,8H,AS,win
QD,TC,KS,8C,7C,7S,AH,loss
8C,6C,6H,9S,7S,JH,TD,win
KC,9S,TH,7C,KD,AD,TS,win
QC,JC,AH,6S,6H,TC,KD,win
7H,AC,QD,6S,QH,TH,9D,loss
9S,6D,9C,JS,7C,9H,7H,win
7S,QH,AH,AD,KD,9S,QD,win
7S,AC,6S,AD,TH,7D,7H,win
QS,KD,QC,8D,JD,7S,9S,win
QS,JC,9S,TC,7D,JD,7H,win
7H,KD,QH,8H,9H,TH,TS,loss
QD,KS,KH,AC,8H,QH,7H,win
AD,8S,AS,8C,JD,KC,QC,win
AD,TS,KH,7D,KS,AS,AH,win
JD,9D,7C,JH,JC,9C,AD,win
7D,7S,KH,JC,JS,6C,AS,win
9C,KC,6D,8C,7S,AS,JD,loss
JH,JD,6S,9D,6D,KC,AH,win
6H,AC,7C,QH,AS,6S,TH,win
TH,7C,KC,9S,TC,KH,QC,loss
8S,9D,7C,JS,QC,TD,6D,win
9S,7S,QS,JS,KS,8S,9H,win
9S,8C,QS,TS,8H,7C,7D,win
JH,7H,TD,7C,QD,JC,AH,loss
9H,QH,JC,7H,AD,7C,6H,loss
JC,8D,TH,8S,TD,9D,6S,win
KH,AD,KD,QS,9C,AC,TS,win
AH,9H,JC,7S,6D,JS,9D,win
QD,8H,6H,9S,AC,7S,TH,win
6C,KH,QS,6S,TD,AC,TC,loss
7C,9H,8C,6S,QD,AH,AC,loss
9H,QH,9C,TH,7C,9S,9D,win
8S,KH,6C,TC,8C,QS,7C,win
TC,7H,AH,8C,AS,TH,6H,win
9S,KC,JD,KD,QH,TH,JH,win
TD,8D,7S,QH,TC,TS,6H,win
6H,KD,AC,KH,KC,8C,KS,win
AH,6H,9S,8D,9H,TD,6D,loss
8D,TC,6D,7C,JC,8H,8S,win
JS,7C,9C,9D,TC,JD,TD,win
QC,AC,QD,9H,7H,TC,8S,loss
7D,QS,AC,9D,8D,KD,KC,loss
7C,TC,AC,JD,JC,TH,6H,win
KD,AS,TS,7D,8D,9S,AD,loss
JH,6C,AC,JS,QS,8D,TH,win
7D,6H,9D,KS,JS,QH,6D,loss
AD,QD,9C,QS,7D,JC,AC,win
6H,AD,8H,8C,AC,JD,TH,loss
JC,KD,TD,9H,7D,7H,TC,win
QH,QS,AH,KD,JD,6S,8S,win
6H,AC,QS,JH,8S,KD,KH,loss
JH,JS,TD,8D,6H,AC,8H,win
AD,9H,QD,9D,JS,8S,JC,win
QD,JS,AC,KS,8D,TC,KC,loss
8H,QD,TS,6H,QH,6C,8D,loss
AC,QC,KS,9D,AS,6D,TD,win
KH,9D,AD,7C,JS,7D,AH,loss
9S,JS,JC,7D,6S,9D,KD,win
JS,QH,6S,AC,AD,8C,JC,win
8H,6D,JS,JC,8D,TC,8S,win
JS,7C,TD,9S,JH,TS,KS,win
6C,TD,KD,JC,KH,AD,QD,loss
8D,JD,JS,QC,7C,9H,QS,win
QD,7C,9D,JH,7S,8D,AC,loss
JC,7D,TD,JD,KS,6S,AS,win
9D,8C,7S,6H,TC,QH,6D,win
KH,6S,KS,7C,AS,TC,8C,win
6S,TS,9S,QC,QS,TD,AH,win
9H,AS,7D,QC,9D,8C,AC,win
KH,6H,9D,TC,QS,QH,JC,win
9C,AH,JH,QD,KD,6D,JD,loss
AD,6H,7C,6C,KC,KS,JH,win
TH,7H,AC,KS,KC,9D,8D,loss
7S,7C,TC,6S,9S,JC,9C,loss
8D,JC,QD,9H,JS,JH,TS,loss
AC,8C,7D,TD,QC,8D,AD,win
